年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2016年04月21日,10000,0,,
2016年04月22日,10000,0,,
2016年04月25日,10136,0,,
2016年04月26日,10071,0,,
2016年04月27日,10080,0,,
2016年04月28日,10089,0,,
2016年05月02日,9885,0,,
2016年05月06日,9780,0,,
2016年05月09日,9752,0,,
2016年05月10日,9921,0,,
2016年05月11日,9929,3,,
2016年05月12日,9925,3,,
2016年05月13日,9925,5,,
2016年05月16日,9916,7,,
2016年05月17日,9915,7,,
2016年05月18日,9936,7,,
2016年05月19日,9935,7,,
2016年05月20日,9858,7,,
2016年05月23日,10021,8,,
2016年05月24日,9921,8,,
2016年05月25日,10013,9,,
2016年05月26日,10164,9,,
2016年05月27日,10108,9,,
2016年05月30日,10135,9,,
2016年05月31日,10135,9,,
2016年06月01日,10314,9,,
2016年06月02日,10071,9,,
2016年06月03日,10029,10,,
2016年06月06日,9959,10,,
2016年06月07日,10015,10,,
2016年06月08日,10099,10,,
2016年06月09日,10080,11,,
2016年06月10日,10001,11,,
2016年06月13日,9895,11,,
2016年06月14日,9780,11,,
2016年06月15日,9648,11,,
2016年06月16日,9666,11,,
2016年06月17日,9332,10,,
2016年06月20日,9479,10,,
2016年06月21日,9663,11,,
2016年06月22日,9645,11,,
2016年06月23日,9684,13,,
2016年06月24日,9684,13,,
2016年06月27日,9293,12,,
2016年06月28日,8952,12,,
2016年06月29日,9141,12,,
2016年06月30日,9297,13,,
2016年07月01日,9379,13,,
2016年07月04日,9483,14,,
2016年07月05日,9483,14,,
2016年07月06日,9306,14,,
2016年07月07日,9148,14,,
2016年07月08日,9295,14,,
2016年07月11日,9303,14,,
2016年07月12日,9586,15,,
2016年07月13日,9862,16,,
2016年07月14日,9834,16,,
2016年07月15日,10022,15,,
2016年07月19日,9993,16,,
2016年07月20日,10084,16,,
2016年07月21日,10130,16,,
2016年07月22日,10139,16,,
2016年07月25日,10062,16,,
2016年07月26日,10071,16,,
2016年07月27日,9977,16,,
2016年07月28日,10108,16,,
2016年07月29日,10023,16,,
2016年08月01日,9843,16,,
2016年08月02日,9833,16,,
2016年08月03日,9717,16,,
2016年08月04日,9641,16,,
2016年08月05日,9660,16,,
2016年08月08日,9771,16,,
2016年08月09日,9846,17,,
2016年08月10日,9836,16,,
2016年08月12日,9788,16,,
2016年08月15日,9778,16,,
2016年08月16日,9777,16,,
2016年08月17日,9720,16,,
2016年08月18日,9684,17,,
2016年08月19日,9712,21,,
2016年08月22日,9651,21,0.00,1
2016年08月23日,9716,21,,
2016年08月24日,9735,21,,
2016年08月25日,9734,21,,
2016年08月26日,9678,21,,
2016年08月29日,9686,21,,
2016年08月30日,9844,22,,
2016年08月31日,9917,23,,
2016年09月01日,9935,23,,
2016年09月02日,9999,23,,
2016年09月05日,10045,23,,
2016年09月06日,10045,23,,
2016年09月07日,10035,23,,
2016年09月08日,9922,23,,
2016年09月09日,9912,23,,
2016年09月12日,9939,23,,
2016年09月13日,9703,22,,
2016年09月14日,9731,22,,
2016年09月15日,9758,23,,
2016年09月16日,9740,24,,
2016年09月20日,9756,24,,
2016年09月21日,9756,24,,
2016年09月23日,9840,25,,
2016年09月26日,9812,25,,
2016年09月27日,9648,25,,
2016年09月28日,9675,25,,
2016年09月29日,9740,25,,
2016年09月30日,9871,26,,
2016年10月03日,9748,25,,
2016年10月04日,9814,25,,
2016年10月05日,9955,26,,
2016年10月06日,10000,26,,
2016年10月07日,10027,27,,
2016年10月11日,10008,27,,
2016年10月12日,9941,26,,
2016年10月13日,9884,26,,
2016年10月14日,9727,26,,
2016年10月17日,9940,27,,
2016年10月18日,9822,27,,
2016年10月19日,9921,28,,
2016年10月20日,9875,27,,
2016年10月21日,9953,30,,
2016年10月24日,9892,30,,
2016年10月25日,10001,31,,
2016年10月26日,10047,31,,
2016年10月27日,9946,32,,
2016年10月28日,10018,33,,
2016年10月31日,9961,32,,
2016年11月01日,9932,32,,
2016年11月02日,9932,32,,
2016年11月04日,9630,32,,
2016年11月07日,9564,31,,
2016年11月08日,9788,32,,
2016年11月09日,9871,33,,
2016年11月10日,9852,33,,
2016年11月11日,10133,34,,
2016年11月14日,9944,34,,
2016年11月15日,10066,34,,
2016年11月16日,10140,35,,
2016年11月17日,10166,36,,
2016年11月18日,10239,36,,
2016年11月21日,10321,37,,
2016年11月22日,10430,38,,
2016年11月24日,10521,38,,
2016年11月25日,10521,38,,
2016年11月28日,10641,39,,
2016年11月29日,10585,39,,
2016年11月30日,10584,38,,
2016年12月01日,10696,39,,
2016年12月02日,10724,40,,
2016年12月05日,10565,39,,
2016年12月06日,10724,39,,
2016年12月07日,10696,39,,
2016年12月08日,10733,39,,
2016年12月09日,10832,40,,
2016年12月12日,10960,48,,
2016年12月13日,11013,50,,
2016年12月14日,11031,50,,
2016年12月15日,11021,50,,
2016年12月16日,11213,52,,
2016年12月19日,11221,54,,
2016年12月20日,11104,54,,
2016年12月21日,11186,54,,
2016年12月22日,11120,54,,
2016年12月26日,11072,55,,
2016年12月27日,11071,55,,
2016年12月28日,11145,55,,
2016年12月29日,11125,56,,
2016年12月30日,11032,55,,
2017年01月04日,11181,56,,
2017年01月05日,11135,56,,
2017年01月06日,11097,56,,
2017年01月10日,11179,56,,
2017年01月11日,11123,56,,
