ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç ÉoÉâÉìÉXÅiÇWéëéYãœìôå^Åj
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2017/05/09,10019,10019,,0.10
2017/05/10,10051,10051,,0.10
2017/05/11,10090,10090,,2.74
2017/05/12,10067,10067,,3.61
2017/05/15,10051,10051,,4.36
2017/05/16,10101,10101,,5.08
2017/05/17,10049,10049,,6.40
2017/05/18,9931,9931,,6.67
2017/05/19,9899,9899,,7.22
2017/05/22,9961,9961,,7.86
2017/05/23,9964,9964,,8.17
2017/05/24,10002,10002,,9.08
2017/05/25,10027,10027,,9.70
2017/05/26,10040,10040,,10.01
2017/05/29,10012,10012,,10.19
2017/05/30,9987,9987,,10.40
2017/05/31,9970,9970,,10.38
2017/06/01,10000,10000,,10.41
2017/06/02,10075,10075,,11.63
2017/06/05,10042,10042,,11.95
2017/06/06,10014,10014,,12.08
2017/06/07,9975,9975,,12.48
2017/06/08,9980,9980,,12.69
2017/06/09,9974,9974,,13.01
2017/06/12,9995,9995,,13.33
2017/06/13,9978,9978,,13.50
2017/06/14,9994,9994,,13.52
2017/06/15,10009,10009,,14.59
2017/06/16,10049,10049,,14.76
2017/06/19,10067,10067,,15.17
2017/06/20,10121,10121,,15.48
2017/06/21,10061,10061,,16.14
2017/06/22,10039,10039,,15.52
2017/06/23,10059,10059,,15.76
2017/06/26,10074,10074,,15.71
2017/06/27,10140,10140,,16.02
2017/06/28,10118,10118,,16.54
2017/06/29,10166,10166,,16.80
2017/06/30,10087,10087,,16.99
2017/07/03,10088,10088,,17.11
2017/07/04,10140,10140,,17.67
2017/07/05,10124,10124,,19.24
2017/07/06,10110,10110,,19.21
2017/07/07,10065,10065,,19.59
2017/07/10,10120,10120,,19.77
2017/07/11,10133,10133,,20.04
2017/07/12,10098,10098,,20.48
2017/07/13,10140,10140,,20.83
2017/07/14,10160,10160,,20.96
2017/07/18,10166,10166,,21.57
2017/07/19,10180,10180,,21.95
2017/07/20,10224,10224,,23.04
2017/07/21,10230,10230,,23.25
2017/07/24,10162,10162,,23.34
2017/07/25,10187,10187,,23.57
2017/07/26,10211,10211,,24.28
2017/07/27,10205,10205,,24.71
2017/07/28,10218,10218,,25.02
2017/07/31,10171,10171,,25.21
2017/08/01,10184,10184,,25.55
2017/08/02,10201,10201,,26.13
2017/08/03,10226,10226,,26.68
2017/08/04,10176,10176,,26.83
2017/08/07,10205,10205,,27.09
2017/08/08,10226,10226,,27.46
2017/08/09,10155,10155,,27.27
2017/08/10,10145,10145,,28.13
2017/08/14,10021,10021,,28.29
2017/08/15,10121,10121,,28.96
2017/08/16,10145,10145,,29.60
2017/08/17,10142,10142,,30.09
2017/08/18,10077,10077,,30.11
2017/08/21,10061,10061,,30.39
2017/08/22,10073,10073,,30.77
2017/08/23,10122,10122,,31.39
2017/08/24,10099,10099,,31.73
2017/08/25,10133,10133,,32.05
2017/08/28,10135,10135,,32.19
2017/08/29,10104,10104,,32.39
2017/08/30,10172,10172,,32.60
2017/08/31,10221,10221,,33.29
2017/09/01,10227,10227,,33.39
2017/09/04,10204,10204,,33.49
2017/09/05,10165,10165,,33.73
2017/09/06,10112,10112,,33.56
2017/09/07,10171,10171,,34.77
2017/09/08,10158,10158,,34.91
2017/09/11,10163,10163,,35.18
2017/09/12,10255,10255,,35.70
2017/09/13,10297,10297,,36.29
2017/09/14,10303,10303,,36.57
2017/09/15,10304,10304,,36.60
2017/09/19,10410,10410,,36.81
2017/09/20,10416,10416,,37.18
2017/09/21,10447,10447,,37.85
2017/09/22,10420,10420,,38.13
2017/09/25,10438,10438,,38.42
2017/09/26,10351,10351,,38.24
2017/09/27,10378,10378,,39.07
2017/09/28,10384,10384,,39.36
2017/09/29,10386,10386,,39.63
2017/10/02,10413,10413,,40.04
2017/10/03,10424,10424,,40.24
2017/10/04,10424,10424,,40.24
2017/10/05,10447,10447,,42.40
2017/10/06,10444,10444,,42.60
2017/10/10,10425,10425,,42.52
2017/10/11,10431,10431,,43.13
2017/10/12,10463,10463,,43.90
2017/10/13,10466,10466,,44.22
2017/10/16,10484,10484,,44.54
2017/10/17,10495,10495,,44.81
2017/10/18,10491,10491,,45.75
2017/10/19,10554,10554,,46.13
2017/10/20,10526,10526,,46.26
2017/10/23,10577,10577,,46.87
2017/10/24,10546,10546,,47.07
2017/10/25,10545,10545,,47.76
2017/10/26,10521,10521,,48.22
2017/10/27,10520,10520,,48.60
2017/10/30,10524,10524,,48.99
2017/10/31,10491,10491,,49.07
2017/11/01,10552,10552,,49.90
2017/11/02,10596,10596,,50.40
2017/11/06,10601,10601,,50.95
2017/11/07,10613,10613,,51.20
2017/11/08,10622,10622,,52.03
2017/11/09,10638,10638,,52.23
2017/11/10,10578,10578,,52.26
2017/11/13,10562,10562,,51.76
2017/11/14,10568,10568,,52.20
2017/11/15,10523,10523,,52.77
2017/11/16,10501,10501,,52.76
2017/11/17,10563,10563,,53.44
2017/11/20,10538,10538,,53.46
2017/11/21,10584,10584,,54.33
2017/11/22,10605,10605,,55.24
2017/11/24,10580,10580,,55.47
2017/11/27,10590,10590,,55.77
2017/11/28,10540,10540,,56.12
2017/11/29,10592,10592,,56.82
2017/11/30,10608,10608,,57.23
2017/12/01,10629,10629,,57.43
2017/12/04,10630,10630,,57.76
2017/12/05,10625,10625,,58.19
2017/12/06,10588,10588,,58.83
2017/12/07,10574,10574,,59.23
2017/12/08,10627,10627,,59.93
2017/12/11,10695,10695,,60.88
2017/12/12,10703,10703,,61.28
2017/12/13,10693,10693,,62.00
2017/12/14,10688,10688,,62.55
2017/12/15,10638,10638,,62.05
2017/12/18,10688,10688,,63.68
2017/12/19,10715,10715,,64.30
2017/12/20,10720,10720,,65.09
2017/12/21,10718,10718,,65.37
2017/12/22,10731,10731,,65.96
2017/12/25,10738,10738,,66.67
2017/12/26,10746,10746,,67.46
2017/12/27,10768,10768,,67.59
2017/12/28,10788,10788,,67.72
2017/12/29,10780,10780,,69.82
2018/01/04,10868,10868,,70.73
2018/01/05,10901,10901,,71.68
2018/01/09,10968,10968,,73.53
2018/01/10,10901,10901,,73.88
2018/01/11,10821,10821,,74.87
2018/01/12,10819,10819,,75.73
2018/01/15,10853,10853,,76.91
2018/01/16,10867,10867,,77.41
2018/01/17,10865,10865,,77.39
2018/01/18,10933,10933,,79.78
2018/01/19,10929,10929,,80.31
2018/01/22,10930,10930,,80.93
2018/01/23,10992,10992,,81.95
2018/01/24,10989,10989,,83.26
2018/01/25,10954,10954,,83.52
2018/01/26,10957,10957,,84.20
2018/01/29,10912,10912,,85.48
2018/01/30,10863,10863,,85.10
2018/01/31,10796,10796,,85.76
2018/02/01,10879,10879,,86.70
2018/02/02,10871,10871,,87.27
2018/02/05,10770,10770,,87.20
2018/02/06,10490,10490,,85.28
2018/02/07,10503,10503,,85.99
2018/02/08,10503,10503,,85.53
2018/02/09,10333,10333,,84.55
2018/02/13,10358,10358,,85.41
2018/02/14,10307,10307,,85.27
2018/02/15,10321,10321,,85.60
2018/02/16,10371,10371,,86.42
2018/02/19,10428,10428,,87.55
2018/02/20,10447,10447,,87.71
2018/02/21,10450,10450,,87.74
2018/02/22,10412,10412,,89.93
2018/02/23,10423,10423,,90.34
2018/02/26,10499,10499,,91.41
2018/02/27,10539,10539,,92.00
2018/02/28,10464,10464,,92.32
2018/03/01,10349,10349,,91.71
2018/03/02,10289,10289,,91.44
2018/03/05,10214,10214,,91.43
2018/03/06,10299,10299,,92.71
2018/03/07,10291,10291,,93.22
2018/03/08,10327,10327,,93.75
2018/03/09,10365,10365,,94.34
2018/03/12,10435,10435,,95.00
2018/03/13,10437,10437,,95.21
2018/03/14,10457,10457,,96.65
2018/03/15,10427,10427,,96.54
2018/03/16,10423,10423,,96.69
2018/03/19,10371,10371,,96.77
2018/03/20,10361,10361,,96.98
2018/03/22,10359,10359,,97.43
2018/03/23,10204,10204,,96.41
2018/03/26,10146,10146,,96.13
2018/03/27,10280,10280,,97.83
2018/03/28,10272,10272,,98.53
2018/03/29,10355,10355,,99.61
2018/03/30,10353,10353,,99.92
2018/04/02,10360,10360,,100.26
2018/04/03,10291,10291,,99.59
2018/04/04,10353,10353,,100.18
2018/04/05,10393,10393,,101.60
2018/04/06,10412,10412,,101.91
2018/04/09,10378,10378,,101.58
2018/04/10,10387,10387,,102.23
2018/04/11,10433,10433,,103.36
2018/04/12,10426,10426,,103.71
2018/04/13,10445,10445,,104.22
2018/04/16,10445,10445,,104.52
2018/04/17,10433,10433,,104.69
2018/04/18,10493,10493,,106.23
2018/04/19,10530,10530,,106.89
2018/04/20,10502,10502,,106.95
2018/04/23,10478,10478,,106.87
2018/04/24,10512,10512,,107.97
2018/04/25,10514,10514,0,108.58
2018/04/26,10518,10518,,108.98
2018/04/27,10549,10549,,109.31
2018/05/01,10589,10589,,110.52
2018/05/02,10598,10598,,110.94
2018/05/07,10524,10524,,110.17
2018/05/08,10543,10543,,112.03
2018/05/09,10521,10521,,111.79
2018/05/10,10591,10591,,114.00
2018/05/11,10638,10638,,114.72
2018/05/14,10644,10644,,115.32
2018/05/15,10644,10644,,115.59
2018/05/16,10591,10591,,116.06
2018/05/17,10619,10619,,117.34
2018/05/18,10634,10634,,118.02
2018/05/21,10620,10620,,118.29
2018/05/22,10644,10644,,118.86
2018/05/23,10637,10637,,119.73
2018/05/24,10547,10547,,118.71
2018/05/25,10537,10537,,119.26
2018/05/28,10533,10533,,119.54
2018/05/29,10504,10504,,119.80
2018/05/30,10392,10392,,118.53
2018/05/31,10447,10447,,120.27
2018/06/01,10456,10456,,120.63
2018/06/04,10552,10552,,122.11
2018/06/05,10615,10615,,123.67
2018/06/06,10595,10595,,123.94
2018/06/07,10649,10649,,124.91
2018/06/08,10610,10610,,124.75
2018/06/11,10581,10581,,124.55
2018/06/12,10637,10637,,125.38
2018/06/13,10649,10649,,125.52
2018/06/14,10608,10608,,126.42
2018/06/15,10598,10598,,126.33
2018/06/18,10573,10573,,126.31
2018/06/19,10509,10509,,126.35
2018/06/20,10467,10467,,125.85
2018/06/21,10525,10525,,127.59
2018/06/22,10486,10486,,127.96
2018/06/25,10480,10480,,128.21
2018/06/26,10468,10468,,128.29
2018/06/27,10469,10469,,129.06
2018/06/28,10420,10420,,128.89
2018/06/29,10464,10464,,130.30
2018/07/02,10505,10505,,131.13
2018/07/03,10482,10482,,130.99
2018/07/04,10470,10470,,130.84
2018/07/05,10460,10460,,132.11
2018/07/06,10521,10521,,132.88
2018/07/09,10571,10571,,134.31
2018/07/10,10626,10626,,135.27
2018/07/11,10612,10612,,135.51
2018/07/12,10640,10640,,136.44
2018/07/13,10723,10723,,137.93
2018/07/17,10724,10724,,138.08
2018/07/18,10750,10750,,138.75
2018/07/19,10732,10732,,139.19
2018/07/20,10709,10709,,138.97
2018/07/23,10609,10609,,137.54
2018/07/24,10609,10609,,138.49
2018/07/25,10645,10645,,139.48
2018/07/26,10660,10660,,139.99
2018/07/27,10674,10674,,140.75
2018/07/30,10652,10652,,140.79
2018/07/31,10659,10659,,141.37
2018/08/01,10721,10721,,142.89
2018/08/02,10701,10701,,143.18
2018/08/03,10655,10655,,143.42
2018/08/06,10643,10643,,143.49
2018/08/07,10649,10649,,143.86
2018/08/08,10673,10673,,144.19
2018/08/09,10623,10623,,143.59
2018/08/10,10586,10586,,143.64
2018/08/13,10438,10438,,141.75
2018/08/14,10436,10436,,142.39
2018/08/15,10483,10483,,144.00
2018/08/16,10397,10397,,143.50
2018/08/17,10433,10433,,144.74
2018/08/20,10447,10447,,146.11
2018/08/21,10434,10434,,146.22
2018/08/22,10477,10477,,147.96
2018/08/23,10514,10514,,149.12
2018/08/24,10545,10545,,149.86
2018/08/27,10575,10575,,150.77
2018/08/28,10623,10623,,151.79
2018/08/29,10637,10637,,152.00
2018/08/30,10677,10677,,154.29
2018/08/31,10579,10579,,152.96
2018/09/03,10548,10548,,152.70
2018/09/04,10533,10533,,152.94
2018/09/05,10507,10507,,152.56
2018/09/06,10467,10467,,153.44
2018/09/07,10410,10410,,152.89
2018/09/10,10415,10415,,153.32
2018/09/11,10454,10454,,154.22
2018/09/12,10456,10456,,155.63
2018/09/13,10476,10476,,156.46
2018/09/14,10574,10574,,158.47
2018/09/18,10571,10571,,158.93
2018/09/19,10629,10629,,160.03
2018/09/20,10647,10647,,161.17
2018/09/21,10716,10716,,162.45
2018/09/25,10733,10733,,163.04
2018/09/26,10753,10753,,163.42
2018/09/27,10740,10740,,163.23
2018/09/28,10797,10797,,164.98
2018/10/01,10818,10818,,165.78
2018/10/02,10818,10818,,166.02
2018/10/03,10742,10742,,164.85
2018/10/04,10749,10749,,166.27
2018/10/05,10657,10657,,164.91
2018/10/09,10554,10554,,163.71
2018/10/10,10580,10580,,164.86
2018/10/11,10416,10416,,163.30
2018/10/12,10322,10322,,162.56
2018/10/15,10320,10320,,163.01
2018/10/16,10339,10339,,164.12
