ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç êVãªçëäîéÆÉCÉìÉfÉbÉNÉX
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2017/07/31,9879,9879,,0.01
2017/08/01,9910,9910,,0.01
2017/08/02,9945,9945,,0.26
2017/08/03,9995,9995,,0.33
2017/08/04,9868,9868,,0.58
2017/08/07,9952,9952,,1.05
2017/08/08,10043,10043,,1.85
2017/08/09,9982,9982,,2.39
2017/08/10,9918,9918,,2.26
2017/08/14,9622,9622,,2.43
2017/08/15,9788,9788,,2.70
2017/08/16,9832,9832,,3.09
2017/08/17,9850,9850,,3.35
2017/08/18,9786,9786,,3.55
2017/08/21,9780,9780,,3.83
2017/08/22,9783,9783,,4.09
2017/08/23,9925,9925,,4.36
2017/08/24,9917,9917,,4.44
2017/08/25,10023,10023,,4.62
2017/08/28,10000,10000,,4.67
2017/08/29,9944,9944,,4.72
2017/08/30,10023,10023,,4.75
2017/08/31,10131,10131,,5.12
2017/09/01,10121,10121,,5.59
2017/09/04,10105,10105,,5.72
2017/09/05,10034,10034,,5.69
2017/09/06,9942,9942,,5.64
2017/09/07,10004,10004,,6.06
2017/09/08,9996,9996,,6.19
2017/09/11,9988,9988,,6.29
2017/09/12,10161,10161,,6.50
2017/09/13,10249,10249,,6.66
2017/09/14,10266,10266,,6.94
2017/09/15,10241,10241,,7.01
2017/09/19,10468,10468,,7.23
2017/09/20,10460,10460,,7.35
2017/09/21,10545,10545,,7.58
2017/09/22,10507,10507,,7.82
2017/09/25,10481,10481,,7.91
2017/09/26,10238,10238,,7.83
2017/09/27,10252,10252,,8.06
2017/09/28,10277,10277,,8.24
2017/09/29,10218,10218,,8.32
2017/10/02,10311,10311,,8.52
2017/10/03,10334,10334,,8.59
2017/10/04,10447,10447,,8.68
2017/10/05,10502,10502,,9.28
2017/10/06,10509,10509,,9.60
2017/10/10,10488,10488,,9.58
2017/10/11,10543,10543,,10.00
2017/10/12,10624,10624,,10.61
2017/10/13,10639,10639,,10.75
2017/10/16,10668,10668,,10.85
2017/10/17,10724,10724,,11.08
2017/10/18,10688,10688,,11.51
2017/10/19,10754,10754,,11.76
2017/10/20,10648,10648,,12.17
2017/10/23,10769,10769,,12.59
2017/10/24,10688,10688,,12.66
2017/10/25,10714,10714,,13.39
2017/10/26,10687,10687,,13.60
2017/10/27,10657,10657,,13.74
2017/10/30,10691,10691,,13.91
2017/10/31,10656,10656,,14.13
2017/11/01,10766,10766,,14.88
