ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç ëSê¢äEäîéÆÅiÇRínàÊãœìôå^Åj
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2018/04/03,9897,9897,,0.10
2018/04/04,9967,9967,,0.10
2018/04/05,10008,10008,,0.13
2018/04/06,10079,10079,,0.24
2018/04/09,10010,10010,,0.24
2018/04/10,10028,10028,,0.29
2018/04/11,10126,10126,,0.55
2018/04/12,10088,10088,,0.57
2018/04/13,10158,10158,,0.60
2018/04/16,10154,10154,,0.65
2018/04/17,10122,10122,,0.70
2018/04/18,10194,10194,,1.09
2018/04/19,10255,10255,,1.14
2018/04/20,10256,10256,,1.25
2018/04/23,10213,10213,,1.29
2018/04/24,10270,10270,,1.35
2018/04/25,10244,10244,,1.39
2018/04/26,10241,10241,,1.44
2018/04/27,10287,10287,,1.48
2018/05/01,10324,10324,,1.51
2018/05/02,10339,10339,,1.56
2018/05/07,10229,10229,,1.54
2018/05/08,10256,10256,,1.61
2018/05/09,10273,10273,,1.61
2018/05/10,10356,10356,,1.79
2018/05/11,10434,10434,,1.76
2018/05/14,10470,10470,,1.79
2018/05/15,10508,10508,,1.81
2018/05/16,10457,10457,,1.85
2018/05/17,10503,10503,,1.98
2018/05/18,10521,10521,,2.01
2018/05/21,10496,10496,,2.01
2018/05/22,10512,10512,,2.03
2018/05/23,10490,10490,,2.09
2018/05/24,10343,10343,,2.06
2018/05/25,10319,10319,,2.12
2018/05/28,10313,10313,,2.12
2018/05/29,10266,10266,,2.15
2018/05/30,10087,10087,,2.11
2018/05/31,10136,10136,,2.20
2018/06/01,10158,10158,,2.24
2018/06/04,10314,10314,,2.29
2018/06/05,10396,10396,,2.31
2018/06/06,10388,10388,,2.37
2018/06/07,10476,10476,,2.41
2018/06/08,10436,10436,,2.42
2018/06/11,10392,10392,,2.42
2018/06/12,10470,10470,,2.41
2018/06/13,10497,10497,,2.46
2018/06/14,10434,10434,,2.46
2018/06/15,10428,10428,,2.47
2018/06/18,10354,10354,,2.52
2018/06/19,10240,10240,,2.52
2018/06/20,10169,10169,,2.50
2018/06/21,10221,10221,,2.64
2018/06/22,10130,10130,,2.76
2018/06/25,10111,10111,,2.78
2018/06/26,10021,10021,,2.76
2018/06/27,10031,10031,,2.68
2018/06/28,9959,9959,,2.68
2018/06/29,9999,9999,,2.72
2018/07/02,10035,10035,,2.76
2018/07/03,10003,10003,,2.78
2018/07/04,9966,9966,,2.77
2018/07/05,9928,9928,,2.86
2018/07/06,9999,9999,,2.88
2018/07/09,10078,10078,,2.94
2018/07/10,10195,10195,,2.99
2018/07/11,10168,10168,,3.01
2018/07/12,10180,10180,,3.03
2018/07/13,10314,10314,,3.09
2018/07/17,10327,10327,,3.11
2018/07/18,10377,10377,,3.28
2018/07/19,10369,10369,,3.29
2018/07/20,10311,10311,,3.35
2018/07/23,10239,10239,,3.27
2018/07/24,10262,10262,,3.31
2018/07/25,10334,10334,,3.40
2018/07/26,10379,10379,,3.43
2018/07/27,10404,10404,,3.45
2018/07/30,10391,10391,,3.46
2018/07/31,10337,10337,,3.46
2018/08/01,10425,10425,,3.55
2018/08/02,10376,10376,,3.53
2018/08/03,10297,10297,,3.53
2018/08/06,10279,10279,,3.52
2018/08/07,10306,10306,,3.54
2018/08/08,10356,10356,,3.69
2018/08/09,10312,10312,,3.78
2018/08/10,10261,10261,,3.95
2018/08/13,10073,10073,,3.79
2018/08/14,10076,10076,,3.81
2018/08/15,10099,10099,,3.87
2018/08/16,9939,9939,,3.92
2018/08/17,9996,9996,,4.03
2018/08/20,9991,9991,,4.14
2018/08/21,9989,9989,,4.19
2018/08/22,10069,10069,,4.48
2018/08/23,10129,10129,,4.64
2018/08/24,10170,10170,,4.67
2018/08/27,10224,10224,,4.73
2018/08/28,10317,10317,,4.79
2018/08/29,10338,10338,,4.80
2018/08/30,10396,10396,,4.94
2018/08/31,10281,10281,,4.89
2018/09/03,10224,10224,,4.87
2018/09/04,10199,10199,,4.89
2018/09/05,10163,10163,,4.87
2018/09/06,10056,10056,,4.92
2018/09/07,9977,9977,,4.90
2018/09/10,10001,10001,,4.94
2018/09/11,10030,10030,,4.98
2018/09/12,10011,10011,,5.03
2018/09/13,10053,10053,,5.08
2018/09/14,10187,10187,,5.21
2018/09/18,10213,10213,,5.28
2018/09/19,10319,10319,,5.33
2018/09/20,10380,10380,,5.36
2018/09/21,10485,10485,,5.42
2018/09/25,10532,10532,,5.47
2018/09/26,10561,10561,,5.38
2018/09/27,10528,10528,,5.37
2018/09/28,10615,10615,,5.39
2018/10/01,10620,10620,,5.39
2018/10/02,10637,10637,,5.41
2018/10/03,10521,10521,,5.35
2018/10/04,10559,10559,,5.40
2018/10/05,10429,10429,,5.30
2018/10/09,10211,10211,,5.22
2018/10/10,10227,10227,,5.24
2018/10/11,9931,9931,,5.17
2018/10/12,9773,9773,,5.13
2018/10/15,9816,9816,,5.22
2018/10/16,9800,9800,,5.35
2018/10/17,9984,9984,,5.53
2018/10/18,9965,9965,,5.60
2018/10/19,9834,9834,,5.53
2018/10/22,9853,9853,,5.58
2018/10/23,9803,9803,,5.59
2018/10/24,9701,9701,,5.66
2018/10/25,9459,9459,,5.55
2018/10/26,9508,9508,,5.61
2018/10/29,9399,9399,,5.59
2018/10/30,9434,9434,,5.64
2018/10/31,9592,9592,,5.83
2018/11/01,9641,9641,,5.89
2018/11/02,9795,9795,,6.02
2018/11/05,9845,9845,,6.13
