Ç¬Ç›ÇΩÇƒÇWéëéYãœìôÉoÉâÉìÉX
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2017/08/16,10023,10023,,0.10
2017/08/17,10021,10021,,0.10
2017/08/18,9956,9956,,0.10
2017/08/21,9940,9940,,0.10
2017/08/22,9952,9952,,0.10
2017/08/23,10001,10001,,0.10
2017/08/24,9978,9978,,0.10
2017/08/25,10012,10012,,0.10
2017/08/28,10014,10014,,0.10
2017/08/29,9983,9983,,0.10
2017/08/30,10050,10050,,0.10
2017/08/31,10099,10099,,0.10
2017/09/01,10104,10104,,0.10
2017/09/04,10081,10081,,0.10
2017/09/05,10042,10042,,0.10
2017/09/06,9990,9990,,0.10
2017/09/07,10049,10049,,0.10
2017/09/08,10036,10036,,0.10
2017/09/11,10041,10041,,0.10
2017/09/12,10132,10132,,0.10
2017/09/13,10173,10173,,0.10
2017/09/14,10179,10179,,0.10
2017/09/15,10179,10179,,0.10
2017/09/19,10285,10285,,0.10
2017/09/20,10291,10291,,0.10
2017/09/21,10322,10322,,0.10
2017/09/22,10295,10295,,0.10
2017/09/25,10313,10313,,0.10
2017/09/26,10227,10227,,0.10
2017/09/27,10253,10253,,0.10
2017/09/28,10259,10259,,0.10
2017/09/29,10261,10261,,0.10
2017/10/02,10288,10288,,0.10
2017/10/03,10299,10299,,0.10
2017/10/04,10299,10299,,0.10
2017/10/05,10322,10322,,0.10
2017/10/06,10320,10320,,0.10
2017/10/10,10300,10300,,0.10
2017/10/11,10307,10307,,0.11
2017/10/12,10338,10338,,0.11
2017/10/13,10341,10341,,0.11
2017/10/16,10358,10358,,0.12
2017/10/17,10370,10370,,0.12
2017/10/18,10366,10366,,0.13
2017/10/19,10428,10428,,0.13
2017/10/20,10400,10400,,0.14
2017/10/23,10451,10451,,0.14
2017/10/24,10421,10421,,0.14
2017/10/25,10419,10419,,0.14
2017/10/26,10395,10395,,0.14
2017/10/27,10394,10394,,0.15
2017/10/30,10398,10398,,0.15
2017/10/31,10366,10366,,0.15
2017/11/01,10426,10426,,0.15
2017/11/02,10469,10469,,0.15
2017/11/06,10475,10475,,0.15
2017/11/07,10486,10486,,0.15
2017/11/08,10495,10495,,0.16
2017/11/09,10511,10511,,0.16
2017/11/10,10452,10452,,0.16
2017/11/13,10436,10436,,0.16
2017/11/14,10442,10442,,0.16
2017/11/15,10398,10398,,0.16
2017/11/16,10376,10376,,0.16
2017/11/17,10438,10438,,0.16
2017/11/20,10412,10412,,0.16
2017/11/21,10458,10458,,0.16
2017/11/22,10479,10479,,0.16
2017/11/24,10454,10454,,0.16
2017/11/27,10463,10463,,0.16
2017/11/28,10414,10414,,0.16
2017/11/29,10466,10466,,0.16
2017/11/30,10481,10481,,0.16
2017/12/01,10502,10502,,0.16
2017/12/04,10503,10503,,0.16
2017/12/05,10498,10498,,0.16
2017/12/06,10461,10461,,0.16
2017/12/07,10447,10447,,0.16
2017/12/08,10500,10500,,0.16
2017/12/11,10566,10566,,0.17
2017/12/12,10574,10574,,0.17
2017/12/13,10565,10565,,0.17
2017/12/14,10560,10560,,0.17
2017/12/15,10510,10510,,0.17
2017/12/18,10559,10559,,0.17
2017/12/19,10587,10587,,0.17
2017/12/20,10591,10591,,0.17
2017/12/21,10589,10589,,0.17
2017/12/22,10602,10602,,0.17
2017/12/25,10609,10609,,0.17
2017/12/26,10617,10617,,0.17
2017/12/27,10638,10638,,0.17
2017/12/28,10658,10658,,0.17
2017/12/29,10651,10651,,0.17
2018/01/04,10738,10738,,0.17
2018/01/05,10770,10770,,0.17
2018/01/09,10836,10836,,0.54
2018/01/10,10771,10771,,0.58
2018/01/11,10691,10691,,0.75
2018/01/12,10689,10689,,0.78
2018/01/15,10722,10722,,0.80
2018/01/16,10737,10737,,0.80
2018/01/17,10734,10734,,0.80
2018/01/18,10802,10802,,0.87
2018/01/19,10798,10798,,1.15
2018/01/22,10799,10799,,1.17
2018/01/23,10860,10860,,1.19
2018/01/24,10857,10857,,1.29
2018/01/25,10823,10823,,1.29
2018/01/26,10826,10826,,1.30
2018/01/29,10782,10782,,1.44
2018/01/30,10733,10733,,1.43
2018/01/31,10666,10666,,1.55
2018/02/01,10749,10749,,1.58
2018/02/02,10741,10741,,1.67
2018/02/05,10641,10641,,2.36
2018/02/06,10364,10364,,2.31
2018/02/07,10377,10377,,2.35
2018/02/08,10377,10377,,2.41
2018/02/09,10208,10208,,2.38
2018/02/13,10233,10233,,2.39
2018/02/14,10183,10183,,2.38
2018/02/15,10197,10197,,2.48
2018/02/16,10247,10247,,2.49
2018/02/19,10302,10302,,2.55
2018/02/20,10321,10321,,2.56
2018/02/21,10325,10325,,2.56
2018/02/22,10287,10287,,3.12
2018/02/23,10298,10298,,3.18
2018/02/26,10373,10373,,3.21
2018/02/27,10413,10413,,3.23
2018/02/28,10339,10339,,3.52
2018/03/01,10225,10225,,3.53
2018/03/02,10165,10165,,3.70
2018/03/05,10091,10091,,4.72
2018/03/06,10176,10176,,4.78
2018/03/07,10167,10167,,4.81
2018/03/08,10203,10203,,4.79
2018/03/09,10240,10240,,4.83
2018/03/12,10310,10310,,4.86
2018/03/13,10311,10311,,4.88
2018/03/14,10331,10331,,5.02
2018/03/15,10301,10301,,5.00
2018/03/16,10297,10297,,5.01
2018/03/19,10247,10247,,5.04
2018/03/20,10237,10237,,5.09
2018/03/22,10235,10235,,5.59
2018/03/23,10082,10082,,5.66
2018/03/26,10024,10024,,5.69
2018/03/27,10157,10157,,5.80
2018/03/28,10148,10148,,6.21
2018/03/29,10231,10231,,6.32
2018/03/30,10229,10229,,6.35
2018/04/02,10236,10236,,6.37
2018/04/03,10168,10168,,6.33
2018/04/04,10228,10228,,6.37
2018/04/05,10268,10268,,7.94
2018/04/06,10287,10287,,7.96
2018/04/09,10253,10253,,7.93
2018/04/10,10262,10262,,8.03
2018/04/11,10307,10307,,8.08
2018/04/12,10301,10301,,8.20
2018/04/13,10319,10319,,8.25
2018/04/16,10319,10319,,8.26
2018/04/17,10307,10307,,8.25
2018/04/18,10366,10366,,8.41
2018/04/19,10403,10403,,8.95
2018/04/20,10375,10375,,8.95
2018/04/23,10352,10352,,8.93
2018/04/24,10385,10385,,9.16
2018/04/25,10387,10387,,9.25
2018/04/26,10391,10391,,9.26
