Ç¬Ç›ÇΩÇƒì˙ñ{äîéÆÅiì˙åoïΩãœÅj
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2017/08/16,9988,9988,,0.01
2017/08/17,9974,9974,,0.01
2017/08/18,9856,9856,,0.01
2017/08/21,9817,9817,,0.01
2017/08/22,9813,9813,,0.01
2017/08/23,9839,9839,,0.01
2017/08/24,9797,9797,,0.01
2017/08/25,9848,9848,,0.01
2017/08/28,9846,9846,,0.01
2017/08/29,9808,9808,,0.01
2017/08/30,9881,9881,,0.01
2017/08/31,9952,9952,,0.01
2017/09/01,9974,9974,,0.01
2017/09/04,9881,9881,,0.01
2017/09/05,9820,9820,,0.01
2017/09/06,9805,9805,,0.01
2017/09/07,9825,9825,,0.01
2017/09/08,9763,9763,,0.01
2017/09/11,9900,9900,,0.01
2017/09/12,10017,10017,,0.01
2017/09/13,10062,10062,,0.01
2017/09/14,10032,10032,,0.01
2017/09/15,10084,10084,,0.01
2017/09/19,10281,10281,,0.01
2017/09/20,10286,10286,,0.01
2017/09/21,10305,10305,,0.01
2017/09/22,10279,10279,,0.01
2017/09/25,10330,10330,,0.01
2017/09/26,10295,10295,,0.01
2017/09/27,10332,10332,,0.01
2017/09/28,10379,10379,,0.01
2017/09/29,10374,10374,,0.01
2017/10/02,10397,10397,,0.01
2017/10/03,10505,10505,,0.01
2017/10/04,10511,10511,,0.01
2017/10/05,10512,10512,,0.01
2017/10/06,10544,10544,,0.01
2017/10/10,10611,10611,,0.01
2017/10/11,10641,10641,,0.01
2017/10/12,10678,10678,,0.01
2017/10/13,10780,10780,,0.01
2017/10/16,10831,10831,,0.01
2017/10/17,10872,10872,,0.01
2017/10/18,10886,10886,,0.01
2017/10/19,10929,10929,,0.01
2017/10/20,10934,10934,,0.01
2017/10/23,11056,11056,,0.01
2017/10/24,11111,11111,,0.01
2017/10/25,11062,11062,,0.01
2017/10/26,11081,11081,,0.01
2017/10/27,11218,11218,,0.01
2017/10/30,11219,11219,,0.01
2017/10/31,11219,11219,,0.01
2017/11/01,11428,11428,,0.02
2017/11/02,11488,11488,,0.02
2017/11/06,11494,11494,,0.02
2017/11/07,11693,11693,,0.02
2017/11/08,11680,11680,,0.02
2017/11/09,11658,11658,,0.02
2017/11/10,11559,11559,,0.02
2017/11/13,11407,11407,,0.02
2017/11/14,11409,11409,,0.03
2017/11/15,11229,11229,,0.05
2017/11/16,11394,11394,,0.05
2017/11/17,11417,11417,,0.05
2017/11/20,11347,11347,,0.05
2017/11/21,11427,11427,,0.06
2017/11/22,11482,11482,,0.06
2017/11/24,11495,11495,,0.06
2017/11/27,11467,11467,,0.06
2017/11/28,11462,11462,,0.06
2017/11/29,11518,11518,,0.06
2017/11/30,11583,11583,,0.06
2017/12/01,11630,11630,,0.06
2017/12/04,11573,11573,,0.06
2017/12/05,11530,11530,,0.07
2017/12/06,11303,11303,,0.07
2017/12/07,11466,11466,,0.07
2017/12/08,11626,11626,,0.07
2017/12/11,11691,11691,,0.08
2017/12/12,11654,11654,,0.09
2017/12/13,11598,11598,,0.09
2017/12/14,11566,11566,,0.10
2017/12/15,11494,11494,,0.10
2017/12/18,11672,11672,,0.10
2017/12/19,11654,11654,,0.10
2017/12/20,11667,11667,,0.09
2017/12/21,11654,11654,,0.08
2017/12/22,11672,11672,,0.08
2017/12/25,11691,11691,,0.08
2017/12/26,11666,11666,,0.05
2017/12/27,11693,11693,,0.05
2017/12/28,11628,11628,,0.06
2017/12/29,11618,11618,,0.06
2018/01/04,11995,11995,,0.06
2018/01/05,12102,12102,,0.07
2018/01/09,12171,12171,,0.08
2018/01/10,12139,12139,,0.12
2018/01/11,12099,12099,,0.17
2018/01/12,12071,12071,,0.22
2018/01/15,12102,12102,,0.22
2018/01/16,12223,12223,,0.26
2018/01/17,12180,12180,,0.26
2018/01/18,12127,12127,,0.27
2018/01/19,12149,12149,,0.27
2018/01/22,12153,12153,,0.28
2018/01/23,12310,12310,,0.42
2018/01/24,12216,12216,,0.41
2018/01/25,12078,12078,,0.41
2018/01/26,12058,12058,,0.55
2018/01/29,12058,12058,,0.58
2018/01/30,11885,11885,,0.61
2018/01/31,11787,11787,,0.61
2018/02/01,11984,11984,,0.80
2018/02/02,11877,11877,,0.81
2018/02/05,11574,11574,,0.80
2018/02/06,11026,11026,,0.77
2018/02/07,11041,11041,,0.80
2018/02/08,11168,11168,,0.82
2018/02/09,10908,10908,,0.81
2018/02/13,10835,10835,,0.81
2018/02/14,10791,10791,,0.92
2018/02/15,10949,10949,,0.94
2018/02/16,11080,11080,,1.01
2018/02/19,11298,11298,,1.06
2018/02/20,11184,11184,,1.06
2018/02/21,11207,11207,,1.23
2018/02/22,11087,11087,,1.25
2018/02/23,11168,11168,,1.25
2018/02/26,11307,11307,,1.29
2018/02/27,11427,11427,,1.51
2018/02/28,11263,11263,,1.53
2018/03/01,11086,11086,,1.80
2018/03/02,10810,10810,,1.79
2018/03/05,10739,10739,,1.78
2018/03/06,10932,10932,,1.83
2018/03/07,10846,10846,,1.84
2018/03/08,10906,10906,,1.86
2018/03/09,10958,10958,,1.87
2018/03/12,11138,11138,,1.91
2018/03/13,11211,11211,,2.09
2018/03/14,11114,11114,,2.08
2018/03/15,11127,11127,,2.08
2018/03/16,11061,11061,,2.14
2018/03/19,10961,10961,,2.15
2018/03/20,10911,10911,,2.16
2018/03/22,11018,11018,,2.38
2018/03/23,10520,10520,,2.33
2018/03/26,10596,10596,,2.38
2018/03/27,10878,10878,,2.73
2018/03/28,10813,10813,,2.77
2018/03/29,10880,10880,,2.81
2018/03/30,11031,11031,,2.85
2018/04/02,10997,10997,,2.89
2018/04/03,10948,10948,,3.24
2018/04/04,10962,10962,,3.24
2018/04/05,11129,11129,,3.29
2018/04/06,11090,11090,,3.30
2018/04/09,11146,11146,,3.37
2018/04/10,11206,11206,,3.39
2018/04/11,11150,11150,,3.55
2018/04/12,11137,11137,,3.57
2018/04/13,11198,11198,,3.59
2018/04/16,11227,11227,,3.61
2018/04/17,11233,11233,,3.73
2018/04/18,11393,11393,,3.79
2018/04/19,11410,11410,,3.80
2018/04/20,11395,11395,,3.80
2018/04/23,11357,11357,,4.02
2018/04/24,11454,11454,,4.14
2018/04/25,11422,11422,,4.13
2018/04/26,11476,11476,,4.44
2018/04/27,11555,11555,,4.53
2018/05/01,11575,11575,,4.65
2018/05/02,11557,11557,,5.09
2018/05/07,11553,11553,,5.10
2018/05/08,11575,11575,,5.19
2018/05/09,11524,11524,,5.17
2018/05/10,11570,11570,,5.20
