Ç¬Ç›ÇΩÇƒì˙ñ{äîéÆÅiÇsÇnÇoÇhÇwÅj
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2017/08/16,9999,9999,,0.01
2017/08/17,9992,9992,,0.01
2017/08/18,9883,9883,,0.01
2017/08/21,9870,9870,,0.01
2017/08/22,9876,9876,,0.01
2017/08/23,9900,9900,,0.01
2017/08/24,9851,9851,,0.01
2017/08/25,9881,9881,,0.01
2017/08/28,9900,9900,,0.01
2017/08/29,9888,9888,,0.01
2017/08/30,9949,9949,,0.01
2017/08/31,10010,10010,,0.01
2017/09/01,10023,10023,,0.01
2017/09/04,9923,9923,,0.01
2017/09/05,9844,9844,,0.01
2017/09/06,9852,9852,,0.01
2017/09/07,9890,9890,,0.01
2017/09/08,9861,9861,,0.01
2017/09/11,9977,9977,,0.01
2017/09/12,10071,10071,,0.01
2017/09/13,10132,10132,,0.01
2017/09/14,10100,10100,,0.01
2017/09/15,10142,10142,,0.01
2017/09/19,10321,10321,,0.01
2017/09/20,10321,10321,,0.01
2017/09/21,10326,10326,,0.01
2017/09/22,10301,10301,,0.01
2017/09/25,10352,10352,,0.01
2017/09/26,10351,10351,,0.01
2017/09/27,10379,10379,,0.01
2017/09/28,10452,10452,,0.01
2017/09/29,10442,10442,,0.01
2017/10/02,10436,10436,,0.01
2017/10/03,10503,10503,,0.01
2017/10/04,10503,10503,,0.01
2017/10/05,10491,10491,,0.01
2017/10/06,10520,10520,,0.01
2017/10/10,10569,10569,,0.01
2017/10/11,10580,10580,,0.01
2017/10/12,10600,10600,,0.01
2017/10/13,10653,10653,,0.01
2017/10/16,10719,10719,,0.01
2017/10/17,10745,10745,,0.01
2017/10/18,10752,10752,,0.01
2017/10/19,10787,10787,,0.01
2017/10/20,10790,10790,,0.02
2017/10/23,10881,10881,,0.02
2017/10/24,10954,10954,,0.02
2017/10/25,10920,10920,,0.02
2017/10/26,10936,10936,,0.02
2017/10/27,11043,11043,,0.02
2017/10/30,11041,11041,,0.02
2017/10/31,11010,11010,,0.02
2017/11/01,11140,11140,,0.02
2017/11/02,11186,11186,,0.02
2017/11/06,11178,11178,,0.02
2017/11/07,11307,11307,,0.02
2017/11/08,11333,11333,,0.02
2017/11/09,11305,11305,,0.02
2017/11/10,11225,11225,,0.02
2017/11/13,11120,11120,,0.02
2017/11/14,11092,11092,,0.02
2017/11/15,10874,10874,,0.02
2017/11/16,10985,10985,,0.03
2017/11/17,10997,10997,,0.03
2017/11/20,10971,10971,,0.03
2017/11/21,11043,11043,,0.03
2017/11/22,11080,11080,,0.03
2017/11/24,11102,11102,,0.04
2017/11/27,11078,11078,,0.04
2017/11/28,11049,11049,,0.04
2017/11/29,11137,11137,,0.04
2017/11/30,11174,11174,,0.04
2017/12/01,11201,11201,,0.04
2017/12/04,11140,11140,,0.04
2017/12/05,11166,11166,,0.05
2017/12/06,11007,11007,,0.04
2017/12/07,11137,11137,,0.05
2017/12/08,11245,11245,,0.05
2017/12/11,11305,11305,,0.06
2017/12/12,11316,11316,,0.06
2017/12/13,11290,11290,,0.06
2017/12/14,11272,11272,,0.07
2017/12/15,11181,11181,,0.07
2017/12/18,11333,11333,,0.07
2017/12/19,11316,11316,,0.08
2017/12/20,11353,11353,,0.06
2017/12/21,11362,11362,,0.06
2017/12/22,11403,11403,,0.06
2017/12/25,11420,11420,,0.06
2017/12/26,11390,11390,,0.06
2017/12/27,11421,11421,,0.06
2017/12/28,11354,11354,,0.06
2017/12/29,11344,11344,,0.06
2018/01/04,11633,11633,,0.06
2018/01/05,11736,11736,,0.24
2018/01/09,11792,11792,,0.91
2018/01/10,11810,11810,,1.27
2018/01/11,11785,11785,,1.92
2018/01/12,11711,11711,,2.59
2018/01/15,11758,11758,,3.51
2018/01/16,11823,11823,,3.71
2018/01/17,11801,11801,,4.23
2018/01/18,11714,11714,,4.55
2018/01/19,11794,11794,,5.11
2018/01/22,11808,11808,,5.52
2018/01/23,11927,11927,,5.55
2018/01/24,11866,11866,,4.57
2018/01/25,11762,11762,,5.17
2018/01/26,11729,11729,,10.32
2018/01/29,11737,11737,,12.18
2018/01/30,11597,11597,,11.82
2018/01/31,11464,11464,,13.11
2018/02/01,11674,11674,,14.33
2018/02/02,11635,11635,,14.67
2018/02/05,11382,11382,,14.83
2018/02/06,10880,10880,,15.67
2018/02/07,10921,10921,,17.35
2018/02/08,11020,11020,,18.07
2018/02/09,10809,10809,,18.52
2018/02/13,10713,10713,,20.12
2018/02/14,10627,10627,,20.04
2018/02/15,10730,10730,,20.36
2018/02/16,10843,10843,,20.56
2018/02/19,11079,11079,,21.05
