äÓèÄì˙,äÓèÄâøäz(â~),ï™îzã‡çƒìäéëäÓèÄâøäz(â~),èÉéëéYëçäz(â≠â~),ï™îzã‡(â~)
2021/6/11,10000,10000,0.14,
2021/6/14,9999,9999,0.14,
2021/6/15,10028,10028,0.15,
2021/6/16,10009,10009,0.15,
2021/6/17,9999,9999,0.14,
2021/6/18,9974,9974,0.14,
2021/6/21,9885,9885,0.14,
2021/6/22,9973,9973,0.14,
2021/6/23,10017,10017,0.17,
2021/6/24,10024,10024,0.19,
2021/6/25,10058,10058,0.22,
2021/6/28,10062,10062,0.25,
2021/6/29,10062,10062,0.28,
2021/6/30,10065,10065,0.33,
2021/7/1,10085,10085,0.35,
2021/7/2,10145,10145,0.37,
2021/7/5,10163,10163,0.42,
2021/7/6,10151,10151,0.46,
2021/7/7,10120,10120,0.45,
2021/7/8,10150,10150,0.58,
2021/7/9,10060,10060,0.59,
2021/7/12,10148,10148,0.61,
2021/7/13,10188,10188,0.64,
2021/7/14,10177,10177,0.68,
2021/7/15,10152,10152,0.72,
2021/7/16,10138,10138,0.73,
2021/7/19,10088,10088,0.74,
2021/7/20,9979,9979,0.76,
2021/7/21,10085,10085,0.81,
2021/7/26,10225,10225,0.84,
2021/7/27,10214,10214,0.86,
2021/7/28,10167,10167,0.91,
2021/7/29,10171,10171,0.95,
2021/7/30,10182,10182,0.99,
2021/8/2,10163,10163,1.02,
2021/8/3,10145,10145,1.03,
2021/8/4,10176,10176,1.16,
2021/8/5,10192,10192,1.19,
2021/8/6,10237,10237,1.2,
2021/8/10,10243,10243,1.22,
2021/8/11,10270,10270,1.25,
2021/8/12,10270,10270,1.59,
2021/8/13,10283,10283,1.61,
2021/8/16,10249,10249,1.62,
2021/8/17,10239,10239,1.64,
2021/8/18,10215,10215,1.75,
2021/8/19,10179,10179,1.78,
2021/8/20,10166,10166,1.82,
2021/8/23,10211,10211,1.84,
2021/8/24,10259,10259,1.88,
2021/8/25,10275,10275,1.95,
2021/8/26,10287,10287,1.96,
2021/8/27,10255,10255,2.01,
2021/8/30,10303,10303,2.05,
2021/8/31,10342,10342,2.11,
2021/9/1,10353,10353,2.11,
2021/9/2,10364,10364,2.31,
2021/9/3,10384,10384,2.49,
2021/9/6,10374,10374,2.52,
2021/9/7,10376,10376,2.58,
2021/9/8,10373,10373,2.58,
2021/9/9,10358,10358,2.74,
2021/9/10,10315,10315,3.4,
2021/9/13,10275,10275,3.42,
2021/9/14,10304,10304,3.49,
2021/9/15,10252,10252,3.54,
2021/9/16,10273,10273,3.6,
2021/9/17,10279,10279,3.66,
2021/9/21,10099,10099,3.64,
2021/9/22,10082,10082,3.65,
2021/9/24,10269,10269,3.83,
2021/9/27,10275,10275,3.86,
2021/9/28,10266,10266,3.88,
2021/9/29,10170,10170,3.98,
2021/9/30,10193,10193,4.05,
2021/10/1,10087,10087,4.04,
2021/10/4,10134,10134,4.07,
2021/10/5,10057,10057,4.34,
2021/10/6,10139,10139,4.41,
2021/10/7,10147,10147,4.45,
2021/10/8,10222,10222,4.49,
2021/10/11,10237,10237,4.54,
2021/10/12,10257,10257,5.75,
2021/10/13,10254,10254,5.75,
2021/10/14,10288,10288,5.87,
2021/10/15,10426,10426,5.95,
2021/10/18,10490,10490,6.01,
2021/10/19,10498,10498,6.08,
2021/10/20,10562,10562,6.15,
2021/10/21,10565,10565,6.17,
2021/10/22,10551,10551,6.22,
2021/10/25,10535,10535,6.25,
2021/10/26,10575,10575,6.44,
2021/10/27,10601,10601,6.63,
2021/10/28,10568,10568,6.67,
2021/10/29,10612,10612,6.76,
2021/11/1,10630,10630,6.87,
2021/11/2,10652,10652,6.92,
2021/11/4,10722,10722,7.41,
2021/11/5,10732,10732,7.43,
2021/11/8,10764,10764,7.51,
2021/11/9,10739,10739,7.55,
2021/11/10,10702,10702,9.04,
2021/11/11,10706,10706,9.14,
2021/11/12,10736,10736,9.29,
2021/11/15,10762,10762,9.31,
2021/11/16,10778,10778,9.41,
2021/11/17,10826,10826,9.63,
2021/11/18,10778,10778,9.62,
2021/11/19,10803,10803,9.71,
2021/11/22,10780,10780,9.74,
2021/11/24,10795,10795,9.79,
2021/11/25,10824,10824,9.99,
2021/11/26,10801,10801,10.04,
2021/11/29,10585,10585,9.84,
2021/11/30,10649,10649,10.1,
2021/12/1,10518,10518,10.2,
2021/12/2,10444,10444,10.19,
2021/12/3,10549,10549,10.79,
2021/12/6,10494,10494,10.79,
2021/12/7,10601,10601,10.94,
2021/12/8,10736,10736,11.39,
2021/12/9,10760,10760,11.45,
2021/12/10,10700,10700,13.37,
2021/12/13,10753,10753,13.48,
2021/12/14,10710,10710,13.58,
2021/12/15,10662,10662,13.6,
2021/12/16,10771,10771,13.76,
2021/12/17,10715,10715,13.83,
2021/12/20,10635,10635,13.86,
2021/12/21,10563,10563,14.13,
2021/12/22,10688,10688,14.54,
2021/12/23,10758,10758,14.7,
2021/12/24,10801,10801,14.84,
2021/12/27,10796,10796,14.91,
2021/12/28,10912,10912,15.08,
