äÓèÄì˙,äÓèÄâøäz(â~),ï™îzã‡çƒìäéëäÓèÄâøäz(â~),èÉéëéYëçäz(â≠â~),ï™îzã‡(â~)
2021/6/11,10000,10000,0.14,
2021/6/14,9999,9999,0.14,
2021/6/15,10019,10019,0.15,
2021/6/16,10002,10002,0.15,
2021/6/17,9991,9991,0.14,
2021/6/18,9973,9973,0.14,
2021/6/21,9904,9904,0.14,
2021/6/22,9973,9973,0.14,
2021/6/23,10009,10009,0.15,
2021/6/24,10015,10015,0.17,
2021/6/25,10044,10044,0.19,
2021/6/28,10044,10044,0.2,
2021/6/29,10047,10047,0.23,
2021/6/30,10050,10050,0.27,
2021/7/1,10068,10068,0.28,
2021/7/2,10118,10118,0.29,
2021/7/5,10136,10136,0.3,
2021/7/6,10125,10125,0.31,
2021/7/7,10105,10105,0.31,
2021/7/8,10133,10133,0.35,
2021/7/9,10059,10059,0.35,
2021/7/12,10124,10124,0.36,
2021/7/13,10158,10158,0.38,
2021/7/14,10147,10147,0.4,
2021/7/15,10130,10130,0.41,
2021/7/16,10121,10121,0.42,
2021/7/19,10082,10082,0.43,
2021/7/20,10001,10001,0.43,
2021/7/21,10087,10087,0.49,
2021/7/26,10199,10199,0.51,
2021/7/27,10189,10189,0.51,
2021/7/28,10154,10154,0.56,
2021/7/29,10159,10159,0.56,
2021/7/30,10166,10166,0.61,
2021/8/2,10153,10153,0.62,
2021/8/3,10142,10142,0.63,
2021/8/4,10168,10168,0.69,
2021/8/5,10186,10186,0.69,
2021/8/6,10221,10221,0.7,
2021/8/10,10213,10213,0.73,
2021/8/11,10237,10237,0.78,
2021/8/12,10237,10237,1.04,
2021/8/13,10242,10242,1.1,
2021/8/16,10218,10218,1.11,
2021/8/17,10211,10211,1.14,
2021/8/18,10193,10193,1.2,
2021/8/19,10164,10164,1.2,
2021/8/20,10157,10157,1.22,
2021/8/23,10192,10192,1.23,
2021/8/24,10229,10229,1.26,
2021/8/25,10240,10240,1.27,
2021/8/26,10243,10243,1.28,
2021/8/27,10220,10220,1.31,
2021/8/30,10261,10261,1.33,
2021/8/31,10294,10294,1.37,
2021/9/1,10300,10300,1.37,
2021/9/2,10309,10309,1.42,
2021/9/3,10327,10327,1.62,
2021/9/6,10316,10316,1.67,
2021/9/7,10318,10318,1.71,
2021/9/8,10311,10311,1.7,
2021/9/9,10300,10300,1.78,
2021/9/10,10269,10269,2.22,
2021/9/13,10234,10234,2.22,
2021/9/14,10257,10257,2.24,
2021/9/15,10216,10216,2.27,
2021/9/16,10229,10229,2.27,
2021/9/17,10230,10230,2.3,
2021/9/21,10085,10085,2.27,
2021/9/22,10072,10072,2.27,
2021/9/24,10210,10210,2.36,
2021/9/27,10208,10208,2.36,
2021/9/28,10199,10199,2.39,
2021/9/29,10114,10114,2.44,
2021/9/30,10133,10133,2.48,
2021/10/1,10046,10046,2.35,
2021/10/4,10087,10087,2.37,
2021/10/5,10023,10023,2.52,
2021/10/6,10086,10086,2.58,
2021/10/7,10092,10092,2.59,
2021/10/8,10151,10151,2.62,
2021/10/11,10159,10159,2.63,
2021/10/12,10174,10174,3.42,
2021/10/13,10173,10173,3.42,
2021/10/14,10205,10205,3.49,
2021/10/15,10319,10319,3.54,
2021/10/18,10368,10368,3.57,
2021/10/19,10373,10373,3.6,
2021/10/20,10420,10420,3.62,
2021/10/21,10421,10421,3.63,
2021/10/22,10406,10406,3.68,
2021/10/25,10396,10396,3.69,
2021/10/26,10429,10429,3.72,
2021/10/27,10452,10452,3.78,
2021/10/28,10433,10433,3.82,
2021/10/29,10465,10465,3.9,
2021/11/1,10475,10475,3.97,
2021/11/2,10492,10492,3.99,
2021/11/4,10551,10551,4.21,
2021/11/5,10564,10564,4.24,
2021/11/8,10601,10601,4.31,
2021/11/9,10576,10576,4.33,
2021/11/10,10551,10551,5.27,
2021/11/11,10545,10545,5.3,
2021/11/12,10569,10569,5.36,
2021/11/15,10588,10588,5.37,
2021/11/16,10596,10596,5.43,
2021/11/17,10631,10631,5.55,
2021/11/18,10596,10596,5.55,
2021/11/19,10617,10617,5.59,
2021/11/22,10603,10603,5.61,
2021/11/24,10601,10601,5.66,
2021/11/25,10626,10626,5.83,
2021/11/26,10609,10609,5.84,
2021/11/29,10445,10445,5.75,
2021/11/30,10493,10493,5.88,
2021/12/1,10394,10394,6.01,
2021/12/2,10335,10335,6.01,
2021/12/3,10419,10419,6.36,
2021/12/6,10380,10380,6.36,
2021/12/7,10463,10463,6.45,
2021/12/8,10569,10569,6.62,
2021/12/9,10584,10584,6.66,
2021/12/10,10538,10538,7.95,
2021/12/13,10580,10580,8.02,
2021/12/14,10549,10549,8.09,
2021/12/15,10509,10509,8.22,
2021/12/16,10593,10593,8.29,
2021/12/17,10549,10549,8.37,
2021/12/20,10487,10487,8.35,
2021/12/21,10427,10427,8.31,
2021/12/22,10522,10522,8.6,
2021/12/23,10578,10578,8.69,
2021/12/24,10609,10609,8.77,
2021/12/27,10605,10605,8.81,
2021/12/28,10698,10698,8.89,
