äÓèÄì˙,äÓèÄâøäz(â~),ï™îzã‡çƒìäéëäÓèÄâøäz(â~),èÉéëéYëçäz(â≠â~),ï™îzã‡(â~)
2017/9/29,10000,10000,0.05,
2017/10/2,9980,9980,0.04,
2017/10/3,10031,10031,0.21,
2017/10/4,10017,10017,0.65,
2017/10/5,10044,10044,0.91,
2017/10/6,10103,10103,1.24,
2017/10/10,10063,10063,1.34,
2017/10/11,10046,10046,1.57,
2017/10/12,10070,10070,2.27,
2017/10/13,10043,10043,2.64,
2017/10/16,10032,10032,3.44,
2017/10/17,10052,10052,4,
2017/10/18,10054,10054,4.45,
2017/10/19,10136,10136,4.66,
2017/10/20,10117,10117,4.87,
2017/10/23,10272,10272,5.16,
2017/10/24,10183,10183,6.26,
2017/10/25,10247,10247,7.9,
2017/10/26,10163,10163,8.64,
2017/10/27,10228,10228,9.64,
2017/10/30,10276,10276,10.15,
2017/10/31,10176,10176,11.31,
2017/11/1,10259,10259,12.82,
2017/11/2,10284,10284,13.48,
2017/11/6,10341,10341,14.41,
2017/11/7,10301,10301,14.83,
2017/11/8,10286,10286,16.25,
2017/11/9,10330,10330,17.32,
2017/11/10,10228,10228,17.83,
2017/11/13,10256,10256,18.5,
2017/11/14,10259,10259,18.97,
2017/11/15,10224,10224,19.44,
2017/11/16,10135,10135,19.96,
2017/11/17,10218,10218,20.62,
2017/11/20,10129,10129,20.88,
2017/11/21,10196,10196,21.34,
2017/11/22,10241,10241,22.01,
2017/11/24,10151,10151,21.97,
2017/11/27,10191,10191,22.27,
2017/11/28,10121,10121,22.68,
2017/11/29,10278,10278,23.46,
2017/11/30,10317,10317,23.86,
2017/12/1,10436,10436,24.5,
2017/12/4,10441,10441,24.82,
2017/12/5,10400,10400,24.98,
2017/12/6,10356,10356,25.4,
2017/12/7,10353,10353,25.83,
2017/12/8,10466,10466,26.59,
2017/12/11,10554,10554,27.15,
2017/12/12,10572,10572,27.5,
2017/12/13,10568,10568,28.18,
