äÓèÄì˙,äÓèÄâøäz(â~),ï™îzã‡çƒìäéëäÓèÄâøäz(â~),èÉéëéYëçäz(â≠â~),ï™îzã‡(â~)
2017/9/29,10000,10000,0.05,
2017/10/2,9979,9979,0.04,
2017/10/3,9992,9992,0.13,
2017/10/4,9999,9999,0.49,
2017/10/5,10020,10020,0.7,
2017/10/6,10056,10056,0.87,
2017/10/10,10016,10016,0.93,
2017/10/11,10027,10027,1.09,
2017/10/12,10065,10065,1.54,
2017/10/13,10044,10044,1.73,
2017/10/16,10053,10053,2.1,
2017/10/17,10069,10069,2.23,
2017/10/18,10062,10062,2.77,
2017/10/19,10138,10138,3.06,
2017/10/20,10104,10104,3.16,
2017/10/23,10227,10227,3.37,
2017/10/24,10141,10141,3.64,
2017/10/25,10204,10204,4.46,
2017/10/26,10132,10132,4.84,
2017/10/27,10186,10186,5.44,
2017/10/30,10205,10205,5.82,
2017/10/31,10137,10137,6.13,
2017/11/1,10231,10231,6.67,
2017/11/2,10270,10270,7.14,
2017/11/6,10318,10318,7.38,
2017/11/7,10286,10286,7.6,
2017/11/8,10267,10267,8.28,
2017/11/9,10316,10316,8.58,
2017/11/10,10200,10200,8.87,
2017/11/13,10217,10217,9.17,
2017/11/14,10199,10199,9.51,
2017/11/15,10168,10168,9.75,
2017/11/16,10072,10072,9.75,
2017/11/17,10160,10160,10.05,
2017/11/20,10076,10076,10.17,
2017/11/21,10132,10132,10.66,
2017/11/22,10186,10186,10.97,
2017/11/24,10117,10117,10.99,
2017/11/27,10172,10172,11.16,
2017/11/28,10072,10072,11.25,
2017/11/29,10205,10205,11.66,
2017/11/30,10212,10212,11.88,
2017/12/1,10292,10292,12.16,
2017/12/4,10296,10296,12.26,
2017/12/5,10250,10250,12.41,
2017/12/6,10218,10218,12.57,
2017/12/7,10189,10189,12.66,
2017/12/8,10291,10291,12.91,
2017/12/11,10385,10385,13.16,
2017/12/12,10404,10404,13.29,
2017/12/13,10392,10392,13.61,
2017/12/14,10357,10357,13.83,
2017/12/15,10275,10275,14.01,
2017/12/18,10355,10355,14.93,
2017/12/19,10438,10438,15.27,
2017/12/20,10427,10427,15.48,
2017/12/21,10443,10443,15.65,
2017/12/22,10490,10490,16,
2017/12/25,10491,10491,16.1,
2017/12/26,10505,10505,16.28,
2017/12/27,10509,10509,16.28,
2017/12/28,10522,10522,17.17,
2017/12/29,10509,10509,17.44,
2018/1/4,10631,10631,17.92,
2018/1/5,10702,10702,18.34,
2018/1/9,10805,10805,19.8,
2018/1/10,10755,10755,20.29,
2018/1/11,10627,10627,21.24,
2018/1/12,10681,10681,22.33,
2018/1/15,10733,10733,23.02,
2018/1/16,10727,10727,23.41,
2018/1/17,10655,10655,23.25,
2018/1/18,10832,10832,25.49,
2018/1/19,10789,10789,26.03,
2018/1/22,10810,10810,26.96,
2018/1/23,10911,10911,28.07,
2018/1/24,10873,10873,29.42,
2018/1/25,10813,10813,30.15,
2018/1/26,10824,10824,31.41,
2018/1/29,10828,10828,32.75,
2018/1/30,10772,10772,33.44,
2018/1/31,10636,10636,34.17,
2018/2/1,10689,10689,35.05,
2018/2/2,10701,10701,35.7,
2018/2/5,10511,10511,35.91,
2018/2/6,10027,10027,34.51,
2018/2/7,10268,10268,36.57,
2018/2/8,10136,10136,36.19,
2018/2/9,9773,9773,36.12,
2018/2/13,10007,10007,37.64,
2018/2/14,9933,9933,38,
2018/2/15,9997,9997,39.86,
2018/2/16,10054,10054,40.73,
2018/2/19,10063,10063,42.04,
2018/2/20,10110,10110,43.14,
2018/2/21,10103,10103,43.11,
2018/2/22,10063,10063,44.82,
2018/2/23,10033,10033,45.25,
2018/2/26,10159,10159,46.27,
2018/2/27,10247,10247,46.5,
2018/2/28,10153,10153,47.04,
2018/3/1,9976,9976,46.82,
2018/3/2,9816,9816,46.66,
2018/3/5,9794,9794,47.37,
2018/3/6,9937,9937,48.1,
2018/3/7,9937,9937,48.92,
2018/3/8,9972,9972,49.36,
2018/3/9,10067,10067,50.42,
2018/3/12,10215,10215,51.49,
2018/3/13,10170,10170,51.57,
2018/3/14,10131,10131,52.39,
2018/3/15,10058,10058,52.23,
2018/3/16,10064,10064,52.61,
2018/3/19,10033,10033,53.15,
