äÓèÄì˙,äÓèÄâøäz(â~),ï™îzã‡çƒìäéëäÓèÄâøäz(â~),èÉéëéYëçäz(â≠â~),ï™îzã‡(â~)
2022/12/22,10000,10000,0.48,
2022/12/23,9996,9996,0.48,
2022/12/26,9993,9993,0.52,
2022/12/27,10062,10062,0.57,
2022/12/28,10169,10169,0.57,
2022/12/29,10062,10062,0.63,
2022/12/30,10116,10116,0.65,
2023/1/4,9952,9952,0.65,
2023/1/5,10216,10216,0.68,
2023/1/6,10245,10245,0.76,
2023/1/10,10399,10399,1,
2023/1/11,10484,10484,1.35,
2023/1/12,10517,10517,1.78,
2023/1/13,10429,10429,1.89,
2023/1/16,10379,10379,1.99,
2023/1/17,10422,10422,2.12,
2023/1/18,10655,10655,2.17,
2023/1/19,10395,10395,2.35,
2023/1/20,10433,10433,2.43,
2023/1/23,10587,10587,2.56,
2023/1/24,10729,10729,2.86,
2023/1/25,10729,10729,2.94,
2023/1/26,10680,10680,2.98,
2023/1/27,10746,10746,3.08,
2023/1/30,10764,10764,3.16,
2023/1/31,10679,10679,3.24,
2023/2/1,10684,10684,3.39,
2023/2/2,10670,10670,3.43,
2023/2/3,10665,10665,3.73,
2023/2/6,10833,10833,3.83,
2023/2/7,10733,10733,3.85,
2023/2/8,10674,10674,3.97,
2023/2/9,10683,10683,4.05,
2023/2/10,10708,10708,4.16,
2023/2/13,10664,10664,4.19,
2023/2/14,10798,10798,4.31,
2023/2/15,10837,10837,4.42,
2023/2/16,10891,10891,4.5,
2023/2/17,10869,10869,4.56,
2023/2/20,10863,10863,4.61,
2023/2/21,10852,10852,4.67,
2023/2/22,10769,10769,4.63,
2023/2/24,10707,10707,4.77,
2023/2/27,10690,10690,4.8,
2023/2/28,10799,10799,4.91,
2023/3/1,10729,10729,4.95,
2023/3/2,10818,10818,5.04,
2023/3/3,10886,10886,5.37,
2023/3/6,10962,10962,5.44,
2023/3/7,10954,10954,5.48,
2023/3/8,10862,10862,5.53,
2023/3/9,10892,10892,5.57,
2023/3/10,10679,10679,5.57,
2023/3/13,10459,10459,5.46,
2023/3/14,10324,10324,5.43,
2023/3/15,10525,10525,5.59,
2023/3/16,10151,10151,5.32,
2023/3/17,10316,10316,5.54,
2023/3/20,10148,10148,5.52,
2023/3/22,10380,10380,5.73,
2023/3/23,10227,10227,5.82,
2023/3/24,10247,10247,5.91,
2023/3/27,10219,10219,5.9,
2023/3/28,10273,10273,5.98,
2023/3/29,10364,10364,6.1,
2023/3/30,10563,10563,6.24,
2023/3/31,10759,10759,6.37,
2023/4/3,10765,10765,6.35,
2023/4/4,10800,10800,6.39,
2023/4/5,10710,10710,6.65,
2023/4/6,10603,10603,6.59,
2023/4/7,10688,10688,6.67,
2023/4/10,10756,10756,6.72,
2023/4/11,10835,10835,6.77,
2023/4/12,10908,10908,7.12,
2023/4/13,10900,10900,7.12,
2023/4/14,10984,10984,7.19,
2023/4/17,11044,11044,7.17,
2023/4/18,11092,11092,7.22,
2023/4/19,11099,11099,7.27,
2023/4/20,11097,11097,7.28,
2023/4/21,11046,11046,7.26,
2023/4/24,11031,11031,7.29,
2023/4/25,11064,11064,7.33,
2023/4/26,10845,10845,7.25,
2023/4/27,10853,10853,7.27,
2023/4/28,11025,11025,7.41,
2023/5/1,11271,11271,7.6,
2023/5/2,11318,11318,7.65,
2023/5/8,11191,11191,7.87,
2023/5/9,11214,11214,7.91,
2023/5/10,11147,11147,8.05,
2023/5/11,11059,11059,8.01,
2023/5/12,11049,11049,8.03,
2023/5/15,11115,11115,8.09,
2023/5/16,11233,11233,8.21,
2023/5/17,11163,11163,8.22,
2023/5/18,11314,11314,8.34,
2023/5/19,11342,11342,8.39,
2023/5/22,11325,11325,8.39,
2023/5/23,11422,11422,8.47,
2023/5/24,11268,11268,8.46,
2023/5/25,11206,11206,8.43,
2023/5/26,11206,11206,8.52,
2023/5/29,11408,11408,8.7,
2023/5/30,11367,11367,8.69,
2023/5/31,11220,11220,8.58,
2023/6/1,11068,11068,8.53,
2023/6/2,11224,11224,8.63,
2023/6/5,11487,11487,9.11,
2023/6/6,11389,11389,9.05,
2023/6/7,11478,11478,9.27,
2023/6/8,11431,11431,9.23,
2023/6/9,11462,11462,9.28,
2023/6/12,11494,11494,9.46,
2023/6/13,11557,11557,9.51,
2023/6/14,11697,11697,9.61,
2023/6/15,11771,11771,9.7,
2023/6/16,11873,11873,9.82,
2023/6/19,11983,11983,9.93,
2023/6/20,12005,12005,9.97,
2023/6/21,11770,11770,9.77,
2023/6/22,11806,11806,9.82,
2023/6/23,11842,11842,9.88,
2023/6/26,11684,11684,9.77,
2023/6/27,11726,11726,9.81,
2023/6/28,11845,11845,10.01,
2023/6/29,11871,11871,10.08,
2023/6/30,11902,11902,10.13,
2023/7/3,11987,11987,10.24,
2023/7/4,12041,12041,10.29,
2023/7/5,12041,12041,10.64,
2023/7/6,11916,11916,10.53,
2023/7/7,11678,11678,10.37,
2023/7/10,11659,11659,10.38,
2023/7/11,11590,11590,10.37,
2023/7/12,11573,11573,10.52,
2023/7/13,11687,11687,10.66,
2023/7/14,11799,11799,10.79,
2023/7/18,11810,11810,10.81,0
2023/7/19,11859,11859,10.88,
2023/7/20,11909,11909,11.02,
2023/7/21,11873,11873,10.99,
2023/7/24,12039,12039,11.18,
2023/7/25,12043,12043,11.3,
2023/7/26,12050,12050,11.33,
2023/7/27,12023,12023,11.34,
2023/7/28,11877,11877,11.19,
2023/7/31,12146,12146,11.47,
2023/8/1,12274,12274,11.62,
2023/8/2,12194,12194,11.56,
2023/8/3,11976,11976,11.61,
2023/8/4,11912,11912,11.57,
2023/8/7,11845,11845,11.54,
2023/8/8,12024,12024,11.74,
2023/8/9,11958,11958,11.74,
2023/8/10,12010,12010,11.95,
2023/8/14,12043,12043,12,
2023/8/15,12030,12030,12.01,
2023/8/16,11890,11890,11.86,
2023/8/17,11860,11860,11.87,
2023/8/18,11745,11745,11.78,
2023/8/21,11695,11695,11.74,
2023/8/22,11805,11805,11.87,
2023/8/23,11739,11739,11.86,
2023/8/24,11808,11808,11.95,
2023/8/25,11787,11787,11.93,
2023/8/28,11876,11876,12.04,
2023/8/29,11986,11986,12.17,
2023/8/30,12100,12100,12.35,
2023/8/31,12108,12108,12.37,
2023/9/1,12000,12000,12.27,
2023/9/4,12094,12094,12.35,
2023/9/5,12119,12119,12.64,
2023/9/6,12121,12121,12.64,
2023/9/7,12085,12085,12.78,
2023/9/8,11942,11942,12.63,
2023/9/11,11932,11932,12.63,
2023/9/12,12046,12046,12.89,
2023/9/13,12045,12045,12.94,
2023/9/14,12007,12007,12.9,
2023/9/15,12177,12177,13.1,
2023/9/19,12108,12108,13.03,
2023/9/20,12108,12108,13.08,
2023/9/21,12118,12118,13.18,
