ì˙ït,äÓèÄâøäz,èÉéëéYëçäz
20200729,10000.00,201
20200730,10080.00,203
20200731,10001.00,201
20200803,10224.00,206
20200804,10298.00,207
20200805,10284.00,207
20200806,10340.00,208
20200807,10416.00,209
20200811,10510.00,211
20200812,10466.00,210
20200813,10626.00,214
20200814,10634.00,214
20200817,10589.00,213
20200818,10547.00,212
20200819,10509.00,211
20200820,10554.00,212
20200821,10549.00,212
20200824,10596.00,213
20200825,10723.00,216
20200826,10807.00,217
20200827,10864.00,218
20200828,10957.00,220
20200831,10897.00,219
20200901,10929.00,220
20200902,11024.00,222
20200903,11217.00,225
20200904,10819.00,217
20200907,10750.00,216
20200908,10745.00,216
20200909,10418.00,209
20200910,10650.00,214
20200911,10458.00,210
20200914,10445.00,210
20200915,10537.00,212
20200916,10557.00,212
20200917,10478.00,211
20200918,10367.00,209
20200923,10270.00,207
20200924,10059.00,204
20200925,10099.00,206
20200928,10241.00,209
20200929,10403.00,213
20200930,10398.00,213
20201001,10459.00,214
20201002,10516.00,216
20201005,10418.00,214
20201006,10610.00,219
20201007,10467.00,216
20201008,10687.00,221
20201009,10766.00,224
20201012,10828.00,225
20201013,10973.00,228
20201014,10911.00,227
20201015,10822.00,227
20201016,10816.00,230
20201019,10819.00,230
20201020,10666.00,227
20201021,10696.00,228
20201022,10597.00,227
20201023,10659.00,228
20201026,10694.00,229
20201027,10508.00,225
20201028,10441.00,225
20201029,10069.00,218
20201030,10209.00,221
20201102,10102.00,219
20201104,10385.00,227
20201105,10587.00,232
20201106,10733.00,236
20201109,10694.00,235
20201110,11014.00,242
20201111,10994.00,241
20201112,11105.00,243
20201113,10952.00,240
20201116,11070.00,242
20201117,11175.00,245
20201118,11082.00,243
20201119,10934.00,240
20201120,10978.00,241
20201124,11039.00,242
20201125,11207.00,246
20201126,11174.00,245
20201127,11154.00,245
20201130,11153.00,245
20201201,11144.00,244
20201202,11277.00,248
20201203,11313.00,249
20201204,11236.00,247
20201207,11362.00,249
20201208,11341.00,249
20201209,11381.00,250
20201210,11304.00,248
20201211,11262.00,247
20201214,11250.00,247
20201215,11212.00,247
20201216,11314.00,249
20201217,11302.00,249
20201218,11347.00,250
20201221,11324.00,250
20201222,11271.00,249
20201223,11282.00,250
20201224,11289.00,250
20201225,11314.00,250
20201228,11329.00,248
20201229,11450.00,251
20201230,11390.00,250
20210104,11432.00,250
20210105,11272.00,247
20210106,11300.00,247
20210107,11399.00,250
20210108,11665.00,256
20210112,11697.00,257
20210113,11640.00,255
20210114,11698.00,256
20210115,11642.00,256
20210118,11557.00,254
20210119,11547.00,253
20210120,11660.00,256
20210121,11786.00,259
20210122,11782.00,259
20210125,11781.00,259
20210126,11816.00,260
20210127,11788.00,259
20210128,11552.00,254
20210129,11688.00,257
20210201,11488.00,253
20210202,11693.00,257
20210203,11869.00,261
20210204,11882.00,261
20210205,12070.00,265
20210208,12118.00,266
20210209,12165.00,268
20210210,12089.00,266
20210212,12121.00,267
20210215,12223.00,269
20210216,12264.00,270
20210217,12337.00,272
20210218,12285.00,271
20210219,12229.00,270
20210222,12180.00,268
20210224,12093.00,267
20210225,12305.00,272
20210226,12028.00,266
20210301,11998.00,265
20210302,12326.00,273
20210303,12218.00,271
20210304,12082.00,268
20210305,12023.00,267
20210308,12310.00,273
20210309,12331.00,280
20210310,12442.00,291
20210311,12510.00,296
20210312,12651.00,304
20210315,12719.00,308
20210316,12823.00,312
20210317,12790.00,324
20210318,12807.00,327
20210319,12635.00,327
20210322,12603.00,334
20210323,12688.00,339
20210324,12565.00,353
20210325,12527.00,356
20210326,12642.00,362
20210329,12888.00,380
20210330,12901.00,390
20210331,12961.00,394
20210401,13030.00,404
20210402,13157.00,414
20210405,13154.00,420
20210406,13303.00,424
20210407,13234.00,440
20210408,13249.00,455
20210409,13245.00,474
20210412,13399.00,484
20210413,13377.00,499
20210414,13331.00,520
20210415,13286.00,545
20210416,13409.00,568
20210419,13448.00,575
20210420,13321.00,589
20210421,13216.00,609
20210422,13334.00,625
20210423,13201.00,635
20210426,13337.00,662
20210427,13390.00,681
20210428,13482.00,690
20210430,13562.00,715
20210506,13471.00,716
20210507,13560.00,758
20210510,13614.00,803
20210511,13500.00,802
20210512,13360.00,814
20210513,13175.00,827
20210514,13336.00,842
20210517,13514.00,859
20210518,13450.00,887
20210519,13310.00,901
20210520,13304.00,906
20210521,13401.00,926
20210524,13401.00,932
20210525,13519.00,960
20210526,13478.00,963
20210527,13554.00,983
20210528,13671.00,1003
20210531,13657.00,1006
20210601,13613.00,1013
20210602,13635.00,1015
20210603,13649.00,1042
20210604,13686.00,1059
20210607,13718.00,1066
20210608,13693.00,1082
20210609,13696.00,1081
20210610,13697.00,1101
20210611,13737.00,1113
20210614,13806.00,1129
20210615,13872.00,1135
20210616,13840.00,1150
20210617,13843.00,1160
20210618,13781.00,1160
20210621,13586.00,1151
20210622,13781.00,1182
20210623,13910.00,1214
20210624,13935.00,1234
20210625,14007.00,1194
20210628,14017.00,1209
20210629,14027.00,1233
20210630,14040.00,1246
20210701,14122.00,1274
20210702,14271.00,1302
20210705,14314.00,1313
20210706,14277.00,1322
20210707,14196.00,1314
20210708,14259.00,1337
20210709,14056.00,1342
20210712,14245.00,1375
20210713,14325.00,1381
20210714,14310.00,1394
20210715,14232.00,1387
20210716,14183.00,1378
20210719,14071.00,1380
20210720,13810.00,1361
20210721,14072.00,1385
20210726,14433.00,1382
20210727,14429.00,1426
20210728,14311.00,1413
20210729,14292.00,1411
20210730,14321.00,1469
20210802,14267.00,1447
20210803,14197.00,1450
20210804,14278.00,1467
20210805,14289.00,1463
20210806,14406.00,1472
20210810,14481.00,1474
20210811,14539.00,1483
20210812,14532.00,1487
20210813,14590.00,1497
20210816,14488.00,1494
20210817,14489.00,1504
20210818,14431.00,1463
20210819,14335.00,1468
20210820,14342.00,1474
20210823,14453.00,1491
20210824,14562.00,1499
20210825,14596.00,1433
20210826,14656.00,1441
20210827,14562.00,1422
20210830,14655.00,1442
20210831,14740.00,1470
20210901,14761.00,1503
20210902,14741.00,1513
20210903,14777.00,1523
20210906,14757.00,1523
20210907,14750.00,1529
20210908,14767.00,1530
20210909,14741.00,1602
20210910,14616.00,1603
20210913,14530.00,1564
20210914,14572.00,1579
20210915,14439.00,1571
20210916,14528.00,1593
20210917,14558.00,1608
20210921,14142.00,1576
20210922,14086.00,1595
20210924,14549.00,1673
20210927,14615.00,1624
20210928,14612.00,1655
20210929,14394.00,1650
20210930,14452.00,1659
20211001,14219.00,1639
20211004,14323.00,1665
20211005,14130.00,1656
20211006,14371.00,1692
20211007,14401.00,1703
20211008,14566.00,1725
20211011,14612.00,1736
20211012,14666.00,1782
20211013,14629.00,1778
20211014,14661.00,1797
20211015,14977.00,1789
20211018,15140.00,1803
20211019,15181.00,1801
20211020,15358.00,1835
20211021,15360.00,1822
20211022,15374.00,1824
20211025,15316.00,1831
20211026,15404.00,1840
20211027,15470.00,1862
20211028,15360.00,1852
20211029,15483.00,1866
20211101,15571.00,1890
20211102,15602.00,1961
20211104,15764.00,2003
20211105,15783.00,2022
20211108,15819.00,2068
20211109,15785.00,2085
20211110,15674.00,2089
20211111,15700.00,2122
20211112,15747.00,2140
20211115,15825.00,2151
20211116,15854.00,2166
20211117,16008.00,2209
20211118,15874.00,2210
20211119,15954.00,2238
20211122,15895.00,2249
20211124,16026.00,2303
20211125,16080.00,2368
20211126,16024.00,2385
20211129,15507.00,2308
20211130,15706.00,2371
20211201,15344.00,2403
20211202,15120.00,2423
20211203,15353.00,2488
20211206,15221.00,2532
20211207,15456.00,2613
20211208,15785.00,2691
20211209,15869.00,2717
20211210,15709.00,2710
20211213,15870.00,2696
20211214,15743.00,2714
20211215,15645.00,2739
20211216,15957.00,2812
20211217,15771.00,2803
20211220,15572.00,2721
20211221,15403.00,2704
20211222,15746.00,2785
20211223,15914.00,2851
20211224,16051.00,2926
20211227,16040.00,2934
20211228,16338.00,2989
20211229,16313.00,2974
20211230,16353.00,3005
20220104,16426.00,3015
20220105,16525.00,3038
20220106,16183.00,3020
20220107,16159.00,3055
20220111,15984.00,3050
20220112,16130.00,3106
20220113,16078.00,3130
20220114,15776.00,3085
20220117,15820.00,3100
20220118,15851.00,3164
20220119,15583.00,3111
20220120,15376.00,3112
20220121,15146.00,3070
20220124,14862.00,3071
20220125,14923.00,3110
20220126,14719.00,3098
20220127,14799.00,3182
20220128,14825.00,3212
20220131,15184.00,3383
20220201,15432.00,3466
20220202,15476.00,3458
20220203,15588.00,3514
20220204,15284.00,3531
20220207,15398.00,3559
20220208,15346.00,3559
20220209,15508.00,3579
20220210,15741.00,3648
20220214,15140.00,3508
20220215,15080.00,3511
20220216,15356.00,3574
20220217,15343.00,3598
20220218,14950.00,3526
20220221,14858.00,3515
20220222,14823.00,3526
20220224,14425.00,3431
20220225,14718.00,3538
20220228,15045.00,3657
20220301,14973.00,3690
20220302,14712.00,3684
20220303,15066.00,3778
20220304,14962.00,3763
20220307,14794.00,3730
20220308,14417.00,3668
20220309,14362.00,3715
20220310,14748.00,3808
20220311,14725.00,3813
20220314,14695.00,3832
20220315,14669.00,3842
20220316,15001.00,3938
20220317,15412.00,4058
20220318,15564.00,4116
20220322,15918.00,4209
20220323,16249.00,4214
20220324,16037.00,4182
20220325,16403.00,4254
20220328,16509.00,4275
20220329,16896.00,4385
20220330,16863.00,4350
20220331,16746.00,4302
20220401,16461.00,4195
20220404,16545.00,4210
20220405,16698.00,4251
20220406,16671.00,4260
20220407,16477.00,4203
20220408,16567.00,4238
20220411,16634.00,4259
20220412,16476.00,4250
20220413,16427.00,4247
20220414,16608.00,4301
20220415,16510.00,4282
20220418,16550.00,4300
20220419,16635.00,4322
20220420,17177.00,4481
20220421,17014.00,4479
20220422,16813.00,4416
20220425,16366.00,4270
20220426,16306.00,4258
20220427,15855.00,4191
20220428,16038.00,4260
20220502,15991.00,4321
20220506,16102.00,4386
20220509,16045.00,4423
20220510,15443.00,4323
20220511,15515.00,4377
20220512,15196.00,4313
20220513,15080.00,4296
20220516,15527.00,4477
20220517,15424.00,4488
20220518,15739.00,4654
20220519,15004.00,4448
20220520,14849.00,4411
20220523,14844.00,4447
20220524,15130.00,4554
20220525,14904.00,4520
20220526,15107.00,4603
20220527,15350.00,4695
20220530,15728.00,4820
20220531,15875.00,4908
20220601,15867.00,4906
20220602,15886.00,4895
20220603,16152.00,4926
20220606,16013.00,4828
20220607,16235.00,4838
20220608,16460.00,4919
20220609,16485.00,4915
20220610,16066.00,4781
20220613,15689.00,4672
20220614,14987.00,4447
20220615,15033.00,4516
20220616,15171.00,4634
20220617,14562.00,4530
20220620,14812.00,4683
20220621,14806.00,4744
20220622,15313.00,4906
20220623,15261.00,4954
20220624,15296.00,4969
20220627,15692.00,5102
20220628,15746.00,5131
20220629,15505.00,5031
20220630,15556.00,5040
20220701,15345.00,4973
20220704,15391.00,4997
20220705,15523.00,5089
20220706,15498.00,5081
20220707,15576.00,5117
20220708,15831.00,5202
20220711,15865.00,5215
20220712,15771.00,5181
20220713,15602.00,5134
20220714,15643.00,5127
20220715,15704.00,5148
20220719,15792.00,5172
20220720,16217.00,5395
20220721,16353.00,5438
20220722,16375.00,5349
20220725,16139.00,5177
20220726,16141.00,5115
20220727,16019.00,5081
20220728,16352.00,5200
20220729,16347.00,5223
20220801,16371.00,5233
20220802,16076.00,5095
20220803,16318.00,5151
20220804,16562.00,5175
20220805,16472.00,5162
20220808,16734.00,5244
20220809,16657.00,5226
20220810,16632.00,5218
20220812,16731.00,5222
20220815,16979.00,5301
20220816,17074.00,5323
20220817,17252.00,5398
20220818,17207.00,5377
20220819,17427.00,5428
20220822,17311.00,5367
20220823,16959.00,5277
20220824,16875.00,5251
20220825,16930.00,5273
20220826,17141.00,5372
20220829,16755.00,5276
20220830,16672.00,5268
20220831,16497.00,5257
20220901,16477.00,5292
20220902,16595.00,5329
20220905,16449.00,5317
20220906,16439.00,5370
20220907,16706.00,5457
20220908,17172.00,5643
20220909,17207.00,5668
20220912,17349.00,5724
20220913,17498.00,5741
20220914,16972.00,5535
20220915,16898.00,5494
20220916,16681.00,5496
20220920,16694.00,5533
20220921,16558.00,5511
20220922,16364.00,5480
20220926,15894.00,5351
20220927,15783.00,5374
20220928,15773.00,5502
20220929,16040.00,5658
20220930,15755.00,5547
20221003,15526.00,5516
20221004,15906.00,5656
20221005,16306.00,5838
20221006,16353.00,5939
20221007,16219.00,5916
20221011,15741.00,5746
20221012,15684.00,5731
20221013,15712.00,5748
20221014,16173.00,5930
20221017,15920.00,5856
20221018,16369.00,6012
20221019,16594.00,6126
20221020,16567.00,6146
20221021,16467.00,6089
20221024,16720.00,6199
20221025,16920.00,6279
20221026,17100.00,6329
20221027,16729.00,6171
20221028,16694.00,6123
20221031,17290.00,6305
20221101,17222.00,6287
20221102,17018.00,6208
20221104,16500.00,6013
20221107,16581.00,6036
20221108,16684.00,6123
20221109,16693.00,6151
20221110,16417.00,6064
20221111,16787.00,6210
20221114,16670.00,6193
20221115,16622.00,6175
20221116,16667.00,6206
20221117,16528.00,6174
20221118,16569.00,6204
20221121,16656.00,6246
20221122,16797.00,6302
20221124,16783.00,6313
20221125,16765.00,6321
20221128,16760.00,6319
20221129,16479.00,6261
20221130,16448.00,6257
20221201,16741.00,6385
20221202,16549.00,6319
20221205,16424.00,6289
20221206,16349.00,6269
20221207,16203.00,6220
20221208,16087.00,6193
20221209,16255.00,6271
20221212,16112.00,6225
20221213,16470.00,6376
20221214,16309.00,6346
20221215,16211.00,6313
20221216,16070.00,6265
20221219,15718.00,6153
20221220,15384.00,6054
20221221,15086.00,5958
20221222,15370.00,6151
20221223,15204.00,6102
20221226,15241.00,6168
20221227,15346.00,6243
20221228,15365.00,6251
20221229,15205.00,6241
20221230,15303.00,6297
20230104,15011.00,6179
20230105,15256.00,6282
20230106,15260.00,6364
20230110,15377.00,6408
20230111,15549.00,6493
20230112,15700.00,6629
20230113,15433.00,6532
20230116,15331.00,6419
20230117,15395.00,6448
20230118,15669.00,6563
20230119,15125.00,6270
20230120,15037.00,6242
20230123,15391.00,6402
20230124,15708.00,6592
20230125,15694.00,6599
20230126,15556.00,6541
20230127,15765.00,6639
20230130,15867.00,6688
20230131,15706.00,6628
20230201,15866.00,6694
20230202,15859.00,6698
20230203,16122.00,6826
20230206,16408.00,6943
20230207,16330.00,6918
20230208,16336.00,6932
20230209,16244.00,6879
20230210,16111.00,6766
20230213,16156.00,6785
20230214,16410.00,6908
20230215,16465.00,6924
20230216,16683.00,7017
20230217,16485.00,6900
20230220,16447.00,6879
20230221,16431.00,6832
20230222,16172.00,6724
20230224,16147.00,6735
20230227,16224.00,6785
20230228,16283.00,6821
20230301,16245.00,6846
20230302,16137.00,6811
20230303,16328.00,6909
20230306,16497.00,6965
20230307,16534.00,6993
20230308,16429.00,6946
20230309,16423.00,6923
20230310,15994.00,6754
20230313,15571.00,6584
20230314,15418.00,6539
20230315,15840.00,6826
20230316,15577.00,6770
20230317,15879.00,6966
20230320,15601.00,6859
20230322,15929.00,7013
20230323,15478.00,6840
20230324,15491.00,6844
20230327,15578.00,6891
20230328,15605.00,6936
20230329,15655.00,6970
20230330,16030.00,7118
20230331,16242.00,7225
20230403,16429.00,7294
20230404,16424.00,7299
20230405,16203.00,7171
20230406,16118.00,7096
20230407,16251.00,7149
20230410,16354.00,7197
20230411,16477.00,7251
20230412,16513.00,7281
20230413,16389.00,7209
20230414,16517.00,7240
20230417,16644.00,7291
20230418,16771.00,7324
20230419,16743.00,7311
20230420,16839.00,7312
20230421,16666.00,7150
20230424,16657.00,7128
20230425,16699.00,7137
20230426,16369.00,6986
20230427,16297.00,6946
20230428,16666.00,7091
20230501,17143.00,7305
20230502,17241.00,7343
20230508,16799.00,7120
20230509,16830.00,7054
20230510,16731.00,6996
20230511,16687.00,6978
20230512,16717.00,6990
20230515,16870.00,7041
20230516,16921.00,7060
20230517,16867.00,7017
20230518,17212.00,7136
20230519,17477.00,7235
20230522,17364.00,7197
20230523,17463.00,7179
20230524,17286.00,7090
20230525,17273.00,7072
20230526,17467.00,7146
20230529,17807.00,7293
20230530,17743.00,7246
20230531,17681.00,7221
20230601,17504.00,7172
20230602,17653.00,7219
20230605,18063.00,7412
20230606,17953.00,7365
20230607,17985.00,7386
20230608,17980.00,7362
20230609,17982.00,7361
20230612,18040.00,7387
20230613,18243.00,7494
20230614,18418.00,7598
20230615,18478.00,7637
20230616,18696.00,7724
20230619,18846.00,7805
20230620,18880.00,7799
20230621,18715.00,7731
20230622,18660.00,7697
20230623,18888.00,7790
20230626,18785.00,7774
20230627,18719.00,7771
20230628,18965.00,7890
20230629,19021.00,7920
20230630,19192.00,8006
20230703,19363.00,8085
20230704,19392.00,8058
20230705,19393.00,8108
20230706,19340.00,8086
20230707,19150.00,8024
20230710,18885.00,7906
20230711,18787.00,7888
20230712,18704.00,7881
20230713,18681.00,7881
20230714,18753.00,7917
20230718,18920.00,7996
20230719,19076.00,8090
20230720,19210.00,8177
