"基準価額一覧"
""
"ファンド名","ＳＢＩ・Ｖ・全世界株式インデックス・ファンド"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20220213","20260313"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2026/03/12","20573","85","71619"
"2026/03/11","20488","61","71188"
"2026/03/10","20427","61","70847"
"2026/03/09","20366","-72","70616"
"2026/03/06","20438","-127","70852"
"2026/03/05","20565","29","71341"
"2026/03/04","20536","-387","71196"
"2026/03/03","20923","2","72341"
"2026/03/02","20921","18","72330"
"2026/02/27","20903","-118","72267"
"2026/02/26","21021","213","72668"
"2026/02/25","20808","275","71908"
"2026/02/24","20533","-42","70938"
"2026/02/20","20575","1","71070"
"2026/02/19","20574","305","71069"
"2026/02/18","20269","-20","69965"
"2026/02/17","20289","32","70034"
"2026/02/16","20257","71","69810"
"2026/02/13","20186","-328","69568"
"2026/02/12","20514","-335","70681"
"2026/02/10","20849","65","71680"
"2026/02/09","20784","455","71446"
"2026/02/06","20329","-252","69915"
"2026/02/05","20581","33","70718"
"2026/02/04","20548","-14","70545"
"2026/02/03","20562","139","70386"
"2026/02/02","20423","38","69908"
"2026/01/30","20385","56","69760"
"2026/01/29","20329","55","69452"
"2026/01/28","20274","-78","69228"
"2026/01/27","20352","21","69457"
"2026/01/26","20331","-451","69383"
"2026/01/23","20782","159","70901"
"2026/01/22","20623","240","70342"
"2026/01/21","20383","-345","69577"
"2026/01/20","20728","83","70755"
"2026/01/19","20645","-159","70459"
"2026/01/16","20804","72","70983"
"2026/01/15","20732","-103","70731"
"2026/01/14","20835","51","71008"
"2026/01/13","20784","375","70780"
"2026/01/09","20409","51","69456"
"2026/01/08","20358","-60","69213"
"2026/01/07","20418","112","69420"
"2026/01/06","20306","95","68707"
"2026/01/05","20211","106","68357"
"2025/12/30","20105","-58","67956"
"2025/12/29","20163","15","68110"
"2025/12/26","20148","75","68060"
"2025/12/25","20073","10","67730"
"2025/12/24","20063","26","67647"
"2025/12/23","20037","8","67540"
"2025/12/22","20029","372","67492"
"2025/12/19","19657","175","66234"
"2025/12/18","19482","-64","65617"
"2025/12/17","19546","-128","65822"
"2025/12/16","19674","-114","66250"
"2025/12/15","19788","-148","66639"
"2025/12/12","19936","34","67127"
"2025/12/11","19902","40","67009"
"2025/12/10","19862","85","66860"
"2025/12/09","19777","40","66541"
"2025/12/08","19737","53","66394"
"2025/12/05","19684","8","66218"
"2025/12/04","19676","13","66141"
"2025/12/03","19663","54","66068"
"2025/12/02","19609","-115","65724"
"2025/12/01","19724","-2","66098"
"2025/11/28","19726","91","66105"
"2025/11/27","19635","100","65806"
"2025/11/26","19535","118","65444"
"2025/11/25","19417","356","65035"
"2025/11/21","19061","-270","63813"
"2025/11/20","19331","233","64724"
"2025/11/19","19098","-119","63943"
"2025/11/18","19217","-132","64348"
"2025/11/17","19349","-12","64813"
"2025/11/14","19361","-340","64862"
"2025/11/13","19701","140","66038"
"2025/11/12","19561","43","65567"
"2025/11/11","19518","321","65389"
"2025/11/10","19197","131","64271"
"2025/11/07","19066","-272","63831"
"2025/11/06","19338","173","64736"
"2025/11/05","19165","-355","63932"
"2025/11/04","19520","92","65114"
"2025/10/31","19428","-8","64811"
"2025/10/30","19436","127","64835"
"2025/10/29","19309","-110","64417"
"2025/10/28","19419","138","64775"
"2025/10/27","19281","159","64311"
"2025/10/24","19122","178","63774"
"2025/10/23","18944","-13","63193"
"2025/10/22","18957","94","63255"
"2025/10/21","18863","130","62931"
"2025/10/20","18733","159","62580"
"2025/10/17","18574","-117","62044"
"2025/10/16","18691","-12","62447"
"2025/10/15","18703","-110","62497"
"2025/10/14","18813","-268","62853"
"2025/10/10","19081","-57","63740"
"2025/10/09","19138","156","63920"
"2025/10/08","18982","112","63344"
"2025/10/07","18870","153","62951"
"2025/10/06","18717","344","62375"
"2025/10/03","18373","53","61204"
"2025/10/02","18320","-28","60857"
"2025/10/01","18348","-31","60960"
"2025/09/30","18379","29","61048"
"2025/09/29","18350","28","60940"
"2025/09/26","18322","22","60845"
"2025/09/25","18300","30","60770"
"2025/09/24","18270","-48","60658"
"2025/09/22","18318","47","60805"
"2025/09/19","18271","215","60643"
"2025/09/18","18056","27","59919"
"2025/09/17","18029","-127","59826"
"2025/09/16","18156","94","60245"
"2025/09/12","18062","144","59940"
"2025/09/11","17918","43","59452"
"2025/09/10","17875","35","59303"
"2025/09/09","17840","-36","59139"
"2025/09/08","17876","44","59231"
"2025/09/05","17832","151","59081"
"2025/09/04","17681","-26","58499"
"2025/09/03","17707","46","58410"
"2025/09/02","17661","7","58259"
"2025/09/01","17654","-54","58227"
"2025/08/29","17708","10","58397"
"2025/08/28","17698","-8","58349"
"2025/08/27","17706","93","58365"
"2025/08/26","17613","-151","58034"
"2025/08/25","17764","170","58513"
"2025/08/22","17594","57","57869"
"2025/08/21","17537","-49","57656"
"2025/08/20","17586","-100","57822"
"2025/08/19","17686","56","58151"
"2025/08/18","17630","-19","57942"
"2025/08/15","17649","74","58025"
"2025/08/14","17575","-49","57812"
"2025/08/13","17624","133","57955"
"2025/08/12","17491","195","57509"
"2025/08/08","17296","-16","56845"
"2025/08/07","17312","116","56889"
"2025/08/06","17196","42","56498"
"2025/08/05","17154","158","56288"
"2025/08/04","16996","-565","55589"
"2025/08/01","17561","70","57460"
"2025/07/31","17491","73","57240"
"2025/07/30","17418","-66","57012"
"2025/07/29","17484","4","57206"
"2025/07/28","17480","78","57184"
"2025/07/25","17402","63","56940"
"2025/07/24","17339","197","56745"
"2025/07/23","17142","-68","56138"
"2025/07/22","17210","-114","56359"
"2025/07/18","17324","108","56742"
"2025/07/17","17216","5","56390"
"2025/07/16","17211","70","56364"
"2025/07/15","17141","107","56147"
"2025/07/14","17034","-43","55800"
"2025/07/11","17077","120","55941"
"2025/07/10","16957","-15","55536"
"2025/07/09","16972","127","55591"
"2025/07/08","16845","41","55129"
"2025/07/07","16804","-25","54996"
"2025/07/04","16829","201","55016"
"2025/07/03","16628","67","54342"
