日付,ファンド名,基準価額,販売基準価額,解約価額,純資産総額(百万円),分配金
2011-12-09,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9898,,,1,0
2011-12-12,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,10013,,,1,0
2011-12-13,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9934,,,1,0
2011-12-14,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9884,,,1,0
2011-12-15,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9723,,,1,0
2011-12-16,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9703,,,1,0
2011-12-19,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9607,,,1,0
2011-12-20,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9635,,,1,0
2011-12-21,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9732,,,1,0
2011-12-22,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9697,,,1,0
2011-12-26,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9741,,,1,0
2011-12-27,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9711,,,1,0
2011-12-28,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9684,,,1,0
2011-12-29,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9694,,,1,0
2011-12-30,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9783,,,1,0
2012-01-04,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9975,,,1,0
2012-01-05,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9885,,,1,0
2012-01-06,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9796,,,1,0
2012-01-10,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9825,,,1,0
2012-01-11,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9846,,,1,0
2012-01-12,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9761,,,1,0
2012-01-13,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9860,,,1,0
2012-01-16,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9734,,,1,0
2012-01-17,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9820,,,1,0
2012-01-18,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9864,,,1,0
2012-01-19,三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド,9941,,,1,0
