基準日,基準価額,分配金,純資産総額
2022/03/29,10000,-,0.01
2022/03/30,9985,-,0.00
2022/03/31,9916,-,0.00
2022/04/01,9750,-,0.00
2022/04/04,9791,-,0.00
2022/04/05,9888,-,0.00
2022/04/06,9867,-,0.00
2022/04/07,9753,-,0.00
2022/04/08,9811,-,0.00
2022/04/11,9851,-,0.00
2022/04/12,9754,-,0.00
2022/04/13,9721,-,0.00
2022/04/14,9831,-,0.00
2022/04/15,9771,-,0.00
2022/04/18,9795,-,0.00
2022/04/19,9851,-,0.00
2022/04/20,10170,-,0.01
2022/04/21,10071,-,0.01
2022/04/22,9954,-,0.00
2022/04/25,9689,-,0.00
2022/04/26,9657,-,0.00
2022/04/27,9381,-,0.00
2022/04/28,9498,-,0.00
2022/05/02,9461,-,0.00
2022/05/06,9535,-,0.00
2022/05/09,9502,-,0.00
2022/05/10,9145,-,0.00
2022/05/11,9183,-,0.00
2022/05/12,9001,-,0.00
2022/05/13,8927,-,0.00
2022/05/16,9197,-,0.00
2022/05/17,9133,-,0.00
2022/05/18,9324,-,0.00
2022/05/19,8890,-,0.00
2022/05/20,8796,-,0.00
2022/05/23,8795,-,0.00
2022/05/24,8965,-,0.00
2022/05/25,8839,-,0.00
2022/05/26,8954,-,0.00
2022/05/27,9094,-,0.00
2022/05/30,9317,-,0.00
2022/05/31,9404,-,0.00
2022/06/01,9403,-,0.00
2022/06/02,9409,-,0.00
2022/06/03,9568,-,0.00
2022/06/06,9484,-,0.00
2022/06/07,9614,-,0.00
2022/06/08,9745,-,0.00
2022/06/09,9759,-,0.00
2022/06/10,9512,-,0.00
2022/06/13,9287,-,0.00
2022/06/14,8877,-,0.00
2022/06/15,8911,-,0.00
2022/06/16,8990,-,0.00
2022/06/17,8628,-,0.00
2022/06/20,8774,-,0.00
2022/06/21,8772,-,0.00
2022/06/22,9079,-,0.00
2022/06/23,9043,-,0.00
2022/06/24,9068,-,0.00
2022/06/27,9308,-,0.00
2022/06/28,9334,-,0.00
2022/06/29,9188,-,0.00
2022/06/30,9218,-,0.00
2022/07/01,9096,-,0.00
2022/07/04,9122,-,0.00
2022/07/05,9200,-,0.00
2022/07/06,9189,-,0.00
2022/07/07,9234,-,0.00
2022/07/08,9383,-,0.00
2022/07/11,9404,-,0.00
2022/07/12,9350,-,0.00
2022/07/13,9251,-,0.00
2022/07/14,9270,-,0.00
2022/07/15,9310,-,0.00
2022/07/19,9364,-,0.00
2022/07/20,9609,-,0.00
2022/07/21,9692,-,0.00
2022/07/22,9708,-,0.00
2022/07/25,9571,-,0.00
2022/07/26,9570,-,0.00
2022/07/27,9494,-,0.00
2022/07/28,9686,-,0.00
2022/07/29,9687,-,0.00
2022/08/01,9707,-,0.00
2022/08/02,9528,-,0.00
2022/08/03,9674,-,0.05
2022/08/04,9818,-,0.34
2022/08/05,9762,-,0.39
2022/08/08,9915,-,0.52
2022/08/09,9874,-,0.67
2022/08/10,9858,-,0.83
2022/08/12,9922,-,1.02
2022/08/15,10060,-,1.41
2022/08/16,10120,-,1.66
2022/08/17,10226,-,2.11
2022/08/18,10195,-,2.54
2022/08/19,10331,-,3.08
2022/08/22,10259,-,3.55
2022/08/23,10054,-,3.83
2022/08/24,10005,-,4.24
2022/08/25,10039,-,4.79
2022/08/26,10164,-,5.07
2022/08/29,9931,-,5.19
2022/08/30,9888,-,5.56
2022/08/31,9779,-,6.56
2022/09/01,9768,-,7.20
2022/09/02,9841,-,7.53
2022/09/05,9754,-,7.86
2022/09/06,9749,-,8.17
2022/09/07,9907,-,8.30
2022/09/08,10180,-,8.94
2022/09/09,10197,-,9.15
2022/09/12,10288,-,9.45
2022/09/13,10378,-,9.39
2022/09/14,10066,-,9.50
2022/09/15,10024,-,9.54
2022/09/16,9893,-,10.33
2022/09/20,9906,-,10.72
2022/09/21,9821,-,11.79
2022/09/22,9707,-,12.57
2022/09/26,9436,-,12.74
2022/09/27,9371,-,13.18
2022/09/28,9361,-,13.92
2022/09/29,9517,-,14.70
2022/09/30,9351,-,15.09
2022/10/03,9211,-,15.52
2022/10/04,9442,-,16.54
2022/10/05,9678,-,17.56
2022/10/06,9703,-,17.94
2022/10/07,9625,-,18.36
2022/10/11,9343,-,18.09
2022/10/12,9307,-,18.18
2022/10/13,9324,-,18.87
2022/10/14,9602,-,19.58
2022/10/17,9458,-,19.54
2022/10/18,9718,-,20.17
2022/10/19,9851,-,20.84
2022/10/20,9837,-,20.88
2022/10/21,9771,-,20.72
2022/10/24,9924,-,21.32
2022/10/25,10046,-,21.80
2022/10/26,10151,-,22.40
2022/10/27,9930,-,22.08
2022/10/28,9916,-,22.15
2022/10/31,10258,-,23.20
2022/11/01,10221,-,23.24
2022/11/02,10102,-,22.99
2022/11/04,9793,-,22.33
2022/11/07,9844,-,22.53
2022/11/08,9907,-,23.22
2022/11/09,9910,-,23.58
2022/11/10,9748,-,23.68
2022/11/11,9961,-,24.41
2022/11/14,9897,-,24.59
2022/11/15,9871,-,25.94
2022/11/16,9895,-,26.28
2022/11/17,9818,-,26.52
2022/11/18,9840,-,26.75
2022/11/21,9891,-,27.18
2022/11/22,9975,-,27.57
2022/11/24,9969,-,28.12
2022/11/25,9958,-,28.16
2022/11/28,9956,-,28.16
2022/11/29,9786,-,28.20
2022/11/30,9767,-,28.53
2022/12/01,9938,-,29.54
2022/12/02,9827,-,29.63
2022/12/05,9753,-,29.61
2022/12/06,9708,-,29.61
2022/12/07,9622,-,29.71
2022/12/08,9552,-,29.58
2022/12/09,9653,-,30.05
2022/12/12,9569,-,29.93
2022/12/13,9778,-,30.66
2022/12/14,9685,-,30.94
2022/12/15,9627,-,30.88
2022/12/16,9544,-,30.75
2022/12/19,9325,-,30.48
2022/12/20,9132,-,30.34
2022/12/21,8953,-,30.14
2022/12/22,9122,-,31.03
2022/12/23,9023,-,31.05
2022/12/26,9046,-,31.60
2022/12/27,9108,-,32.03
2022/12/28,9119,-,32.07
2022/12/29,9025,-,33.09
2022/12/30,9082,-,33.87
2023/01/04,8910,-,33.61
2023/01/05,9056,-,34.38
2023/01/06,9058,-,35.02
2023/01/10,9128,-,35.49
2023/01/11,9230,-,36.01
2023/01/12,9320,-,36.72
2023/01/13,9160,-,36.20
2023/01/16,9100,-,36.12
2023/01/17,9139,-,36.41
2023/01/18,9305,-,37.07
2023/01/19,8982,-,36.38
2023/01/20,8930,-,36.25
2023/01/23,9139,-,37.24
2023/01/24,9327,-,38.46
2023/01/25,9319,-,38.66
2023/01/26,9237,-,38.37
2023/01/27,9362,-,39.17
2023/01/30,9422,-,39.55
2023/01/31,9327,-,39.32
2023/02/01,9420,-,40.39
2023/02/02,9417,-,40.83
2023/02/03,9573,-,42.03
2023/02/06,9742,-,42.86
2023/02/07,9697,-,42.43
2023/02/08,9700,-,42.31
2023/02/09,9645,-,41.20
2023/02/10,9566,-,40.68
2023/02/13,9594,-,40.86
2023/02/14,9747,-,41.82
2023/02/15,9780,-,42.01
2023/02/16,9910,-,42.73
2023/02/17,9792,-,42.45
2023/02/20,9769,-,42.48
2023/02/21,9759,-,42.55
2023/02/22,9605,-,41.88
2023/02/24,9590,-,42.35
2023/02/27,9636,-,42.83
2023/02/28,9671,-,43.59
2023/03/01,9648,-,44.15
2023/03/02,9586,-,44.21
2023/03/03,9698,-,45.10
2023/03/06,9799,-,45.74
2023/03/07,9822,-,45.91
2023/03/08,9758,-,45.84
2023/03/09,9754,-,45.64
2023/03/10,9500,-,44.40
2023/03/13,9248,-,43.60
2023/03/14,9157,-,43.65
2023/03/15,9410,-,45.42
2023/03/16,9254,-,45.09
2023/03/17,9433,-,46.53
2023/03/20,9270,-,46.20
2023/03/22,9463,-,47.74
2023/03/23,9195,-,47.04
2023/03/24,9204,-,47.27
2023/03/27,9256,0,47.79
2023/03/28,9271,-,48.07
2023/03/29,9300,-,48.96
2023/03/30,9522,-,50.28
2023/03/31,9647,-,51.06
2023/04/03,9758,-,51.80
2023/04/04,9756,-,51.97
2023/04/05,9624,-,51.44
2023/04/06,9573,-,50.95
2023/04/07,9652,-,51.40
2023/04/10,9713,-,51.79
2023/04/11,9785,-,52.17
2023/04/12,9808,-,52.71
2023/04/13,9735,-,52.25
2023/04/14,9811,-,52.63
2023/04/17,9886,-,53.12
2023/04/18,9961,-,53.34
2023/04/19,9945,-,53.65
2023/04/20,10001,-,53.77
2023/04/21,9898,-,53.30
2023/04/24,9893,-,53.64
2023/04/25,9917,-,53.77
2023/04/26,9722,-,52.76
2023/04/27,9679,-,52.63
